,scores,cavity
1243,13.324999809265137,1
1244,13.324999809265137,1
1245,13.324999809265137,1
1268,13.324999809265137,1
1269,13.324999809265137,1
1270,13.324999809265137,1
1271,12.614999771118164,1
1293,13.324999809265137,1
1294,13.324999809265137,1
1295,13.324999809265137,1
1296,12.614999771118164,1
1318,12.678000450134277,1
1319,12.678000450134277,1
1320,12.678000450134277,1
1321,12.614999771118164,1
1743,14.732000350952148,1
1744,14.732000350952148,1
1745,14.732000350952148,1
1767,13.204000473022461,1
1768,15.41100025177002,1
1769,15.41100025177002,1
1770,15.41100025177002,1
1771,13.673999786376953,1
1792,13.204000473022461,1
1793,15.41100025177002,1
1794,15.41100025177002,1
1795,15.41100025177002,1
1796,14.02400016784668,1
1797,10.630000114440918,1
1817,13.204000473022461,1
1818,15.41100025177002,1
1819,15.41100025177002,1
1820,15.41100025177002,1
1821,14.02400016784668,1
1822,10.630000114440918,1
1843,14.279000282287598,1
1844,14.279000282287598,1
1845,14.279000282287598,1
1846,14.02400016784668,1
1847,12.975000381469727,1
1870,14.5600004196167,1
1871,14.5600004196167,1
1872,14.5600004196167,1
1894,13.37600040435791,1
1895,14.5600004196167,1
1896,14.5600004196167,1
1897,14.5600004196167,1
1919,13.37600040435791,1
1920,14.5600004196167,1
1921,14.5600004196167,1
1922,14.5600004196167,1
1944,13.37600040435791,1
1945,13.37600040435791,1
1946,13.37600040435791,1
2214,13.168999671936035,1
2215,13.168999671936035,1
2216,13.168999671936035,1
2242,25.010000228881836,1
2243,14.732000350952148,1
2244,14.732000350952148,1
2245,14.732000350952148,1
2268,15.41100025177002,1
2269,15.41100025177002,1
2270,15.41100025177002,1
2271,13.673999786376953,1
2293,15.41100025177002,1
2294,15.41100025177002,1
2295,15.41100025177002,1
2296,14.02400016784668,1
2297,10.630000114440918,1
2318,15.41100025177002,1
2319,15.41100025177002,1
2320,15.41100025177002,1
2321,14.02400016784668,1
2322,10.630000114440918,1
2344,14.279000282287598,1
2345,14.279000282287598,1
2346,14.02400016784668,1
2347,12.975000381469727,1
2370,14.5600004196167,1
2371,14.5600004196167,1
2372,14.5600004196167,1
2395,14.5600004196167,1
2396,14.5600004196167,1
2397,14.5600004196167,1
2420,14.5600004196167,1
2421,14.5600004196167,1
2422,14.5600004196167,1
2444,13.623000144958496,1
2445,13.623000144958496,1
2446,13.623000144958496,1
2713,13.807000160217285,1
2714,13.807000160217285,1
2715,13.807000160217285,1
2716,13.168999671936035,1
2743,14.732000350952148,1
2744,14.732000350952148,1
2745,14.732000350952148,1
2768,15.41100025177002,1
2769,15.41100025177002,1
2770,15.41100025177002,1
2771,13.673999786376953,1
2793,15.41100025177002,1
2794,15.41100025177002,1
2795,15.41100025177002,1
2796,14.02400016784668,1
2797,10.630000114440918,1
2818,15.41100025177002,1
2819,15.41100025177002,1
2820,15.41100025177002,1
2821,14.02400016784668,1
2822,10.630000114440918,1
2844,14.279000282287598,1
2845,14.279000282287598,1
2846,14.02400016784668,1
2847,12.975000381469727,1
2870,14.5600004196167,1
2871,14.5600004196167,1
2872,14.5600004196167,1
2895,14.5600004196167,1
2896,14.5600004196167,1
2897,14.5600004196167,1
2920,14.5600004196167,1
2921,14.5600004196167,1
2922,14.5600004196167,1
2944,13.623000144958496,1
2945,13.623000144958496,1
2946,13.623000144958496,1
3189,14.63599967956543,1
3190,14.63599967956543,1
3214,14.63599967956543,1
3215,14.63599967956543,1
3216,13.168999671936035,1
3217,12.675999641418457,1
3243,11.479000091552734,1
3269,12.11299991607666,1
3395,13.623000144958496,1
3396,13.623000144958496,1
3420,13.623000144958496,1
3421,13.623000144958496,1
3445,13.623000144958496,1
3446,13.623000144958496,1
3664,13.729000091552734,1
3665,13.729000091552734,1
3666,13.729000091552734,1
3689,14.63599967956543,1
3690,14.63599967956543,1
3691,13.729000091552734,1
3714,14.63599967956543,1
3715,14.63599967956543,1
3716,13.729000091552734,1
3717,12.675999641418457,1
3743,11.479000091552734,1
4165,13.729000091552734,1
4166,13.729000091552734,1
4189,14.63599967956543,1
4190,14.63599967956543,1
4191,13.729000091552734,1
4214,14.63599967956543,1
4215,14.63599967956543,1
4216,13.729000091552734,1
4217,12.675999641418457,1
4241,13.177000045776367,1
4665,13.729000091552734,1
4666,13.729000091552734,1
4690,13.729000091552734,1
4691,13.729000091552734,1
4715,13.729000091552734,1
4716,13.729000091552734,1
4741,13.177000045776367,1
5588,15.555000305175781,1
5589,15.555000305175781,1
5590,15.555000305175781,1
5614,15.555000305175781,1
5615,15.555000305175781,1
5639,15.555000305175781,1
5640,15.555000305175781,1
6063,13.409000396728516,1
6064,13.409000396728516,1
6065,13.409000396728516,1
6088,15.555000305175781,1
6089,15.555000305175781,1
6090,15.555000305175781,1
6091,12.456999778747559,1
6113,15.555000305175781,1
6114,15.555000305175781,1
6115,15.555000305175781,1
6116,12.456999778747559,1
6138,15.555000305175781,1
6139,15.555000305175781,1
6140,15.555000305175781,1
6141,12.456999778747559,1
6163,15.378999710083008,1
6164,15.378999710083008,1
6165,15.378999710083008,1
6278,16.865999221801758,1
6279,16.865999221801758,1
6280,16.865999221801758,1
6303,16.865999221801758,1
6328,16.865999221801758,1
6563,13.409000396728516,1
6564,14.038999557495117,1
6565,14.038999557495117,1
6566,14.038999557495117,1
6588,15.555000305175781,1
6589,15.555000305175781,1
6590,15.555000305175781,1
6591,14.038999557495117,1
6613,15.555000305175781,1
6614,15.555000305175781,1
6615,15.555000305175781,1
6616,14.038999557495117,1
6638,15.555000305175781,1
6639,15.555000305175781,1
6640,15.555000305175781,1
6641,12.456999778747559,1
6663,15.378999710083008,1
6664,15.378999710083008,1
6665,15.378999710083008,1
6689,13.899999618530273,1
6690,13.899999618530273,1
6778,16.865999221801758,1
6779,16.865999221801758,1
6780,16.865999221801758,1
6803,16.865999221801758,1
6827,12.838000297546387,1
6828,16.865999221801758,1
6852,12.838000297546387,1
6853,15.843000411987305,1
7063,13.409000396728516,1
7064,14.038999557495117,1
7065,14.038999557495117,1
7066,14.038999557495117,1
7088,15.520000457763672,1
7089,15.520000457763672,1
7090,15.520000457763672,1
7091,14.038999557495117,1
7113,15.520000457763672,1
7114,15.520000457763672,1
7115,15.520000457763672,1
7116,14.038999557495117,1
7138,15.520000457763672,1
7139,15.520000457763672,1
7140,15.520000457763672,1
7141,12.532999992370605,1
7163,15.378999710083008,1
7164,15.378999710083008,1
7165,15.378999710083008,1
7189,13.899999618530273,1
7190,13.899999618530273,1
7278,16.865999221801758,1
7279,16.865999221801758,1
7280,16.865999221801758,1
7303,16.865999221801758,1
7304,16.865999221801758,1
7305,16.865999221801758,1
7327,12.838000297546387,1
7328,16.865999221801758,1
7329,16.865999221801758,1
7330,16.865999221801758,1
7352,12.838000297546387,1
7353,15.843000411987305,1
