,scores,cavity
714,13.859999656677246,1
715,13.859999656677246,1
716,13.859999656677246,1
732,13.859999656677246,1
733,13.859999656677246,1
734,13.859999656677246,1
749,10.845999717712402,1
750,13.859999656677246,1
751,13.859999656677246,1
752,13.859999656677246,1
753,12.128000259399414,1
767,10.253999710083008,1
768,13.104000091552734,1
769,13.104000091552734,1
770,13.104000091552734,1
771,12.128000259399414,1
786,10.809000015258789,1
787,10.809000015258789,1
788,10.809000015258789,1
804,10.348999977111816,1
805,10.348999977111816,1
806,10.348999977111816,1
822,10.348999977111816,1
823,10.348999977111816,1
824,10.348999977111816,1
984,12.788999557495117,1
985,12.788999557495117,1
986,12.788999557495117,1
1001,12.444000244140625,1
1002,15.364999771118164,1
1003,15.364999771118164,1
1004,15.364999771118164,1
1019,12.444000244140625,1
1020,15.364999771118164,1
1021,15.364999771118164,1
1022,15.364999771118164,1
1037,12.444000244140625,1
1038,15.364999771118164,1
1039,15.364999771118164,1
1040,15.364999771118164,1
1041,12.128000259399414,1
1054,8.843000411987305,1
1055,11.75100040435791,1
1056,13.104000091552734,1
1057,13.104000091552734,1
1058,13.104000091552734,1
1059,12.128000259399414,1
1072,8.843000411987305,1
1073,11.75100040435791,1
1074,11.75100040435791,1
1075,11.75100040435791,1
1076,10.892999649047852,1
1077,9.673999786376953,1
1090,8.843000411987305,1
1091,11.75100040435791,1
1092,11.75100040435791,1
1093,11.75100040435791,1
1094,10.892999649047852,1
1109,11.131999969482422,1
1110,11.131999969482422,1
1111,11.131999969482422,1
1112,10.892999649047852,1
1272,12.788999557495117,1
1273,12.788999557495117,1
1274,12.788999557495117,1
1289,12.444000244140625,1
1290,15.364999771118164,1
1291,15.364999771118164,1
1292,15.364999771118164,1
1293,11.369999885559082,1
1307,12.444000244140625,1
1308,15.364999771118164,1
1309,15.364999771118164,1
1310,15.364999771118164,1
1311,12.128000259399414,1
1324,8.769000053405762,1
1325,12.444000244140625,1
1326,15.364999771118164,1
1327,15.364999771118164,1
1328,15.364999771118164,1
1329,12.128000259399414,1
1342,9.847000122070312,1
1343,11.75100040435791,1
1344,13.104000091552734,1
1345,13.104000091552734,1
1346,13.104000091552734,1
1347,12.128000259399414,1
1360,9.847000122070312,1
1361,11.75100040435791,1
1362,11.75100040435791,1
1363,11.75100040435791,1
1364,10.892999649047852,1
1365,9.406000137329102,1
1378,9.847000122070312,1
1379,11.75100040435791,1
1380,11.75100040435791,1
1381,11.75100040435791,1
1382,10.892999649047852,1
1397,11.131999969482422,1
1398,11.131999969482422,1
1399,11.131999969482422,1
1400,10.892999649047852,1
1559,10.873000144958496,1
1560,12.788999557495117,1
1561,12.788999557495117,1
1562,12.788999557495117,1
1577,12.444000244140625,1
1578,15.364999771118164,1
1579,15.364999771118164,1
1580,15.364999771118164,1
1581,11.369999885559082,1
1595,12.444000244140625,1
1596,15.364999771118164,1
1597,15.364999771118164,1
1598,15.364999771118164,1
1599,11.369999885559082,1
1612,8.769000053405762,1
1613,12.444000244140625,1
1614,15.364999771118164,1
1615,15.364999771118164,1
1616,15.364999771118164,1
1617,11.369999885559082,1
1630,9.847000122070312,1
1631,11.75100040435791,1
1632,12.32699966430664,1
1633,12.32699966430664,1
1634,12.32699966430664,1
1635,10.029999732971191,1
1648,9.847000122070312,1
1649,11.75100040435791,1
1650,11.75100040435791,1
1651,11.75100040435791,1
1652,10.892999649047852,1
1666,9.847000122070312,1
1667,11.75100040435791,1
1668,11.75100040435791,1
1669,11.75100040435791,1
1670,10.892999649047852,1
1685,11.131999969482422,1
1686,11.131999969482422,1
1687,11.131999969482422,1
1688,10.892999649047852,1
1848,10.501999855041504,1
1849,10.501999855041504,1
1850,10.501999855041504,1
1866,14.166999816894531,1
1867,14.166999816894531,1
1868,14.166999816894531,1
1869,11.369999885559082,1
1884,14.166999816894531,1
1885,14.166999816894531,1
1886,14.166999816894531,1
1887,11.369999885559082,1
1900,8.769000053405762,1
1901,9.54800033569336,1
1902,14.166999816894531,1
1903,14.166999816894531,1
1904,14.166999816894531,1
1905,11.369999885559082,1
1918,9.847000122070312,1
1919,11.258000373840332,1
1920,11.258000373840332,1
1921,11.258000373840332,1
1922,9.220000267028809,1
1936,9.847000122070312,1
1937,11.258000373840332,1
1938,11.258000373840332,1
1939,11.258000373840332,1
1940,9.220000267028809,1
1954,9.847000122070312,1
1955,11.258000373840332,1
1956,11.258000373840332,1
1957,11.258000373840332,1
1973,10.795999526977539,1
