,scores,cavity
480,12.157999992370605,1
481,12.157999992370605,1
482,12.157999992370605,1
483,11.878000259399414,1
494,13.395000457763672,1
495,13.395000457763672,1
496,13.395000457763672,1
497,12.49899959564209,1
498,11.79699993133545,1
508,13.395000457763672,1
509,13.395000457763672,1
510,13.395000457763672,1
511,12.49899959564209,1
512,12.326000213623047,1
522,13.395000457763672,1
523,13.395000457763672,1
524,13.395000457763672,1
525,12.49899959564209,1
526,12.326000213623047,1
540,14.029999732971191,1
541,14.029999732971191,1
542,14.029999732971191,1
543,12.984000205993652,1
553,15.947999954223633,1
554,16.104000091552734,1
555,16.104000091552734,1
556,16.104000091552734,1
557,14.39799976348877,1
567,15.947999954223633,1
568,16.104000091552734,1
569,16.104000091552734,1
570,16.104000091552734,1
571,14.39799976348877,1
581,15.947999954223633,1
582,16.104000091552734,1
583,16.104000091552734,1
584,16.104000091552734,1
585,14.39799976348877,1
595,15.670999526977539,1
596,15.670999526977539,1
597,15.670999526977539,1
598,15.277000427246094,1
676,13.689000129699707,1
677,13.928999900817871,1
678,13.928999900817871,1
679,13.928999900817871,1
690,16.198999404907227,1
691,17.475000381469727,1
692,17.475000381469727,1
693,17.475000381469727,1
704,16.198999404907227,1
705,17.475000381469727,1
706,17.475000381469727,1
707,17.475000381469727,1
708,12.3100004196167,1
718,16.198999404907227,1
719,17.475000381469727,1
720,17.475000381469727,1
721,17.475000381469727,1
722,12.326000213623047,1
732,14.147000312805176,1
733,16.79800033569336,1
734,16.79800033569336,1
735,16.79800033569336,1
736,13.824999809265137,1
737,13.824999809265137,1
738,13.824999809265137,1
739,12.38599967956543,1
749,16.843000411987305,1
750,16.843000411987305,1
751,16.843000411987305,1
752,16.534000396728516,1
753,14.543999671936035,1
763,18.014999389648438,1
764,18.014999389648438,1
765,18.014999389648438,1
766,17.117000579833984,1
767,14.543999671936035,1
776,15.982000350952148,1
777,18.014999389648438,1
778,18.014999389648438,1
779,18.014999389648438,1
780,17.117000579833984,1
781,14.543999671936035,1
790,15.982000350952148,1
791,18.014999389648438,1
792,18.014999389648438,1
793,18.014999389648438,1
794,17.117000579833984,1
795,14.39799976348877,1
805,17.197999954223633,1
806,17.197999954223633,1
807,17.197999954223633,1
808,15.284000396728516,1
886,18.976999282836914,1
887,18.976999282836914,1
888,18.976999282836914,1
889,17.243999481201172,1
899,12.343000411987305,1
900,18.976999282836914,1
901,18.976999282836914,1
902,18.976999282836914,1
903,17.475000381469727,1
904,12.85099983215332,1
913,12.343000411987305,1
914,18.976999282836914,1
915,18.976999282836914,1
916,18.976999282836914,1
917,17.475000381469727,1
918,12.85099983215332,1
927,13.91100025177002,1
928,18.589000701904297,1
929,18.589000701904297,1
930,18.589000701904297,1
931,17.475000381469727,1
932,12.85099983215332,1
941,13.91100025177002,1
942,14.147000312805176,1
943,16.79800033569336,1
944,16.79800033569336,1
945,16.79800033569336,1
946,14.399999618530273,1
947,14.399999618530273,1
948,14.399999618530273,1
949,13.54800033569336,1
959,17.474000930786133,1
960,17.474000930786133,1
961,17.474000930786133,1
962,16.625,1
963,14.543999671936035,1
972,15.937000274658203,1
973,18.014999389648438,1
974,18.014999389648438,1
975,18.014999389648438,1
976,17.117000579833984,1
977,14.543999671936035,1
986,15.982000350952148,1
987,18.014999389648438,1
988,18.014999389648438,1
989,18.014999389648438,1
990,17.117000579833984,1
991,14.543999671936035,1
1000,15.982000350952148,1
1001,18.014999389648438,1
1002,18.014999389648438,1
1003,18.014999389648438,1
1004,17.117000579833984,1
1005,14.39799976348877,1
1015,17.197999954223633,1
1016,17.197999954223633,1
1017,17.197999954223633,1
1018,15.284000396728516,1
1096,18.976999282836914,1
1097,18.976999282836914,1
1098,18.976999282836914,1
1099,17.243999481201172,1
1109,12.472000122070312,1
1110,18.976999282836914,1
1111,18.976999282836914,1
1112,18.976999282836914,1
1113,17.475000381469727,1
1114,12.85099983215332,1
1123,14.21500015258789,1
1124,18.976999282836914,1
1125,18.976999282836914,1
1126,18.976999282836914,1
1127,17.475000381469727,1
1128,12.85099983215332,1
1137,14.302000045776367,1
1138,18.589000701904297,1
1139,18.589000701904297,1
1140,18.589000701904297,1
1141,17.475000381469727,1
1142,12.85099983215332,1
1151,14.302000045776367,1
1152,14.302000045776367,1
1153,16.79800033569336,1
1154,16.79800033569336,1
1155,16.79800033569336,1
1156,14.399999618530273,1
1157,14.399999618530273,1
1158,14.399999618530273,1
1159,13.54800033569336,1
1169,17.474000930786133,1
1170,17.474000930786133,1
1171,17.474000930786133,1
1172,16.625,1
1173,14.543999671936035,1
1182,15.937000274658203,1
1183,18.014999389648438,1
1184,18.014999389648438,1
1185,18.014999389648438,1
1186,17.117000579833984,1
1187,14.543999671936035,1
1196,15.982000350952148,1
1197,18.014999389648438,1
1198,18.014999389648438,1
1199,18.014999389648438,1
1200,17.117000579833984,1
1201,14.543999671936035,1
1210,15.982000350952148,1
1211,18.014999389648438,1
1212,18.014999389648438,1
1213,18.014999389648438,1
1214,17.117000579833984,1
1215,13.461999893188477,1
1224,15.982000350952148,1
1225,17.197999954223633,1
1226,17.197999954223633,1
1227,17.197999954223633,1
1228,15.284000396728516,1
1306,18.976999282836914,1
1307,18.976999282836914,1
1308,18.976999282836914,1
1309,17.243999481201172,1
1310,11.843000411987305,1
1319,12.472000122070312,1
1320,18.976999282836914,1
1321,18.976999282836914,1
1322,18.976999282836914,1
1323,17.243999481201172,1
1324,12.85099983215332,1
1325,11.78499984741211,1
1326,11.78499984741211,1
1333,14.21500015258789,1
1334,18.976999282836914,1
1335,18.976999282836914,1
1336,18.976999282836914,1
1337,17.243999481201172,1
1338,12.85099983215332,1
1339,12.609000205993652,1
1340,12.609000205993652,1
1341,12.609000205993652,1
1347,14.302000045776367,1
1348,18.589000701904297,1
1349,18.589000701904297,1
1350,18.589000701904297,1
1351,15.579999923706055,1
1352,12.85099983215332,1
1353,12.609000205993652,1
1354,12.609000205993652,1
1355,12.609000205993652,1
1363,15.420999526977539,1
1364,15.420999526977539,1
1365,15.420999526977539,1
1366,14.399999618530273,1
1367,14.399999618530273,1
1368,14.399999618530273,1
1369,13.54800033569336,1
1379,17.474000930786133,1
1380,17.474000930786133,1
1381,17.474000930786133,1
1382,16.625,1
1383,13.895999908447266,1
1392,15.937000274658203,1
1393,17.81100082397461,1
1394,17.81100082397461,1
1395,17.81100082397461,1
1396,16.625,1
1397,13.895999908447266,1
1406,15.937000274658203,1
1407,17.81100082397461,1
1408,17.81100082397461,1
1409,17.81100082397461,1
1410,16.625,1
1411,13.895999908447266,1
1420,15.937000274658203,1
1421,17.81100082397461,1
1422,17.81100082397461,1
1423,17.81100082397461,1
1424,15.835000038146973,1
1436,15.810999870300293,1
1437,15.758000373840332,1
1503,12.602999687194824,1
1504,12.602999687194824,1
1505,12.602999687194824,1
1506,12.211999893188477,1
1516,13.78600025177002,1
1517,18.58799934387207,1
1518,18.58799934387207,1
1519,18.58799934387207,1
1520,16.007999420166016,1
1529,12.472000122070312,1
1530,14.319999694824219,1
1531,18.58799934387207,1
1532,18.58799934387207,1
1533,18.58799934387207,1
1534,16.007999420166016,1
1535,15.246999740600586,1
1536,12.413999557495117,1
1543,14.21500015258789,1
1544,14.319999694824219,1
1545,18.58799934387207,1
1546,18.58799934387207,1
1547,18.58799934387207,1
1548,16.007999420166016,1
1549,15.246999740600586,1
1550,12.609000205993652,1
1551,12.609000205993652,1
1557,14.302000045776367,1
1558,14.319999694824219,1
1559,14.319999694824219,1
1560,14.319999694824219,1
1561,15.246999740600586,1
1562,15.246999740600586,1
1563,15.246999740600586,1
1564,12.609000205993652,1
1565,12.609000205993652,1
1576,13.746999740600586,1
1577,13.746999740600586,1
1578,13.746999740600586,1
1579,13.175999641418457,1
1589,16.41900062561035,1
1590,16.41900062561035,1
1591,16.41900062561035,1
1592,14.918000221252441,1
1593,13.175999641418457,1
1602,15.342000007629395,1
1603,16.41900062561035,1
1604,16.41900062561035,1
1605,16.41900062561035,1
1606,14.918000221252441,1
1607,13.175999641418457,1
1617,16.41900062561035,1
1618,16.41900062561035,1
1619,16.41900062561035,1
1620,14.918000221252441,1
1621,12.640000343322754,1
1631,15.770999908447266,1
1632,15.770999908447266,1
1633,15.770999908447266,1
1634,13.260000228881836,1
