,scores,cavity
709,15.890000343322754,1
710,15.890000343322754,1
711,15.890000343322754,1
727,16.263999938964844,1
728,16.263999938964844,1
729,16.263999938964844,1
730,15.842000007629395,1
745,16.263999938964844,1
746,16.263999938964844,1
747,16.263999938964844,1
860,17.416000366210938,1
876,17.773000717163086,1
877,17.773000717163086,1
878,17.773000717163086,1
894,17.773000717163086,1
895,17.773000717163086,1
896,17.773000717163086,1
912,17.773000717163086,1
913,17.773000717163086,1
914,17.773000717163086,1
1032,15.54699993133545,1
1033,17.03700065612793,1
1034,17.03700065612793,1
1035,17.03700065612793,1
1050,15.54699993133545,1
1051,17.66200065612793,1
1052,18.06599998474121,1
1053,18.06599998474121,1
1054,18.06599998474121,1
1055,16.091999053955078,1
1069,17.66200065612793,1
1070,18.06599998474121,1
1071,18.06599998474121,1
1072,18.06599998474121,1
1087,17.66200065612793,1
1088,18.06599998474121,1
1089,18.06599998474121,1
1090,18.06599998474121,1
1184,17.416000366210938,1
1200,17.773000717163086,1
1201,17.773000717163086,1
1202,17.773000717163086,1
1218,17.773000717163086,1
1219,17.773000717163086,1
1220,17.773000717163086,1
1236,17.773000717163086,1
1237,17.773000717163086,1
1238,17.773000717163086,1
1340,15.769000053405762,1
1341,15.769000053405762,1
1342,15.769000053405762,1
1356,15.54699993133545,1
1357,17.03700065612793,1
1358,19.600000381469727,1
1359,19.600000381469727,1
1360,19.600000381469727,1
1361,15.33899974822998,1
1375,17.66200065612793,1
1376,19.600000381469727,1
1377,19.600000381469727,1
1378,19.600000381469727,1
1379,16.927000045776367,1
1393,17.66200065612793,1
1394,19.600000381469727,1
1395,19.600000381469727,1
1396,19.600000381469727,1
1411,17.66200065612793,1
1412,18.06599998474121,1
1413,18.06599998474121,1
1414,18.06599998474121,1
1508,17.416000366210938,1
1514,16.618999481201172,1
1515,16.618999481201172,1
1516,16.618999481201172,1
1524,17.773000717163086,1
1525,17.773000717163086,1
1526,17.773000717163086,1
1532,16.618999481201172,1
1533,16.618999481201172,1
1534,16.618999481201172,1
1542,17.773000717163086,1
1543,17.773000717163086,1
1544,17.773000717163086,1
1550,16.618999481201172,1
1551,16.618999481201172,1
1552,16.618999481201172,1
1560,17.773000717163086,1
1561,17.773000717163086,1
1562,17.773000717163086,1
1569,15.928000450134277,1
1570,15.928000450134277,1
1571,15.928000450134277,1
1663,16.388999938964844,1
1664,16.388999938964844,1
1665,16.388999938964844,1
1666,15.769000053405762,1
1680,15.54699993133545,1
1681,17.03700065612793,1
1682,19.600000381469727,1
1683,19.600000381469727,1
1684,19.600000381469727,1
1685,15.33899974822998,1
1699,17.66200065612793,1
1700,19.600000381469727,1
1701,19.600000381469727,1
1702,19.600000381469727,1
1703,16.927000045776367,1
1717,17.66200065612793,1
1718,19.600000381469727,1
1719,19.600000381469727,1
1720,19.600000381469727,1
1735,17.66200065612793,1
1736,18.06599998474121,1
1737,18.06599998474121,1
1738,18.06599998474121,1
1893,16.482999801635742,1
1894,16.482999801635742,1
1895,16.482999801635742,1
1987,16.388999938964844,1
1988,17.302000045776367,1
1989,17.302000045776367,1
