,scores,cavity
1477,13.782999992370605,1
1498,13.782999992370605,1
1499,16.777000427246094,1
1500,16.777000427246094,1
1501,16.777000427246094,1
1521,13.782999992370605,1
1522,16.777000427246094,1
1523,16.777000427246094,1
1524,16.777000427246094,1
1545,16.777000427246094,1
1546,16.777000427246094,1
1547,16.777000427246094,1
2072,14.267000198364258,1
2073,14.267000198364258,1
2074,14.267000198364258,1
2075,14.227999687194824,1
2095,14.267000198364258,1
2096,14.267000198364258,1
2097,16.777000427246094,1
2098,16.777000427246094,1
2099,16.777000427246094,1
2118,14.267000198364258,1
2119,14.267000198364258,1
2120,16.777000427246094,1
2121,16.777000427246094,1
2122,16.777000427246094,1
2143,16.777000427246094,1
2144,16.777000427246094,1
2145,16.777000427246094,1
2695,16.777000427246094,1
2716,14.267000198364258,1
2717,14.940999984741211,1
2718,16.777000427246094,1
2719,20.31599998474121,1
2720,20.31599998474121,1
2721,20.31599998474121,1
2740,14.940999984741211,1
2741,16.777000427246094,1
2742,20.31599998474121,1
2743,20.31599998474121,1
2744,20.31599998474121,1
2764,15.376999855041504,1
2765,20.31599998474121,1
2766,20.31599998474121,1
2767,20.31599998474121,1
3317,20.31599998474121,1
3318,20.31599998474121,1
3319,20.31599998474121,1
3338,14.940999984741211,1
3340,20.31599998474121,1
3341,20.31599998474121,1
3342,20.31599998474121,1
3363,20.31599998474121,1
3364,20.31599998474121,1
3365,20.31599998474121,1
3890,29.881999969482422,1
3891,30.468000411987305,1
3892,30.468000411987305,1
3893,30.468000411987305,1
3913,30.437999725341797,1
3914,31.222000122070312,1
3915,40.63199996948242,1
3916,40.63199996948242,1
3917,40.63199996948242,1
3938,20.31599998474121,1
3939,20.31599998474121,1
3940,20.31599998474121,1
3959,30.437999725341797,1
3961,40.63199996948242,1
3962,20.31599998474121,1
3963,20.31599998474121,1
4061,18.225000381469727,1
4084,18.225000381469727,1
4104,18.367000579833984,1
4105,18.367000579833984,1
4106,18.367000579833984,1
4107,18.225000381469727,1
4235,14.218999862670898,1
4236,14.218999862670898,1
4237,14.218999862670898,1
4258,14.390000343322754,1
4259,14.390000343322754,1
4260,14.390000343322754,1
4281,14.390000343322754,1
4282,14.390000343322754,1
4283,14.390000343322754,1
4304,14.390000343322754,1
4305,14.390000343322754,1
4306,14.390000343322754,1
4489,60.93600082397461,1
4490,60.93600082397461,1
4491,60.93600082397461,1
4511,60.875999450683594,1
4512,62.444000244140625,1
4513,62.444000244140625,1
4514,62.444000244140625,1
4557,30.437999725341797,1
4656,20.329999923706055,1
4657,20.35099983215332,1
4658,20.35099983215332,1
4659,20.35099983215332,1
4679,20.329999923706055,1
4680,22.757999420166016,1
4681,22.757999420166016,1
4682,22.757999420166016,1
4683,19.304000854492188,1
4702,20.329999923706055,1
4703,22.757999420166016,1
4704,22.757999420166016,1
4705,22.757999420166016,1
4706,19.304000854492188,1
4726,22.757999420166016,1
4727,22.757999420166016,1
4728,22.757999420166016,1
4729,19.304000854492188,1
4833,14.218999862670898,1
4834,14.218999862670898,1
4835,14.218999862670898,1
