,scores,cavity
580,15.302000045776367,1
581,16.684999465942383,1
582,16.684999465942383,1
583,16.684999465942383,1
594,15.302000045776367,1
595,16.684999465942383,1
596,16.684999465942383,1
597,16.684999465942383,1
607,18.4950008392334,1
608,18.4950008392334,1
609,18.4950008392334,1
610,16.684999465942383,1
611,16.684999465942383,1
621,18.4950008392334,1
622,18.4950008392334,1
623,18.4950008392334,1
624,16.45599937438965,1
635,18.4950008392334,1
636,18.4950008392334,1
637,18.4950008392334,1
638,16.45599937438965,1
732,14.770999908447266,1
733,15.465999603271484,1
734,15.465999603271484,1
735,15.465999603271484,1
746,17.291000366210938,1
747,17.291000366210938,1
748,17.291000366210938,1
749,16.474000930786133,1
750,14.39900016784668,1
760,17.291000366210938,1
761,17.291000366210938,1
762,17.291000366210938,1
763,16.511999130249023,1
764,14.39900016784668,1
774,17.291000366210938,1
775,17.291000366210938,1
776,17.291000366210938,1
777,16.511999130249023,1
778,14.39900016784668,1
788,13.857999801635742,1
789,16.511999130249023,1
790,16.511999130249023,1
791,16.511999130249023,1
792,15.434000015258789,1
793,15.434000015258789,1
794,15.434000015258789,1
804,15.302000045776367,1
805,16.684999465942383,1
806,16.684999465942383,1
807,16.684999465942383,1
808,15.434000015258789,1
818,15.302000045776367,1
819,16.684999465942383,1
820,16.684999465942383,1
821,16.684999465942383,1
822,15.434000015258789,1
831,18.4950008392334,1
832,18.4950008392334,1
833,18.4950008392334,1
834,16.684999465942383,1
835,16.684999465942383,1
836,13.883000373840332,1
845,18.4950008392334,1
846,18.4950008392334,1
847,18.4950008392334,1
848,16.45599937438965,1
849,14.12600040435791,1
859,18.4950008392334,1
860,18.4950008392334,1
861,18.4950008392334,1
862,16.45599937438965,1
928,14.9399995803833,1
929,14.9399995803833,1
941,16.165000915527344,1
942,16.165000915527344,1
943,18.344999313354492,1
944,18.344999313354492,1
945,18.344999313354492,1
955,16.165000915527344,1
956,16.165000915527344,1
957,18.344999313354492,1
958,18.344999313354492,1
959,18.344999313354492,1
960,16.468000411987305,1
969,16.492000579833984,1
970,17.448999404907227,1
971,18.836000442504883,1
972,18.836000442504883,1
973,18.836000442504883,1
974,16.468000411987305,1
983,16.492000579833984,1
984,17.448999404907227,1
985,18.836000442504883,1
986,18.836000442504883,1
987,18.836000442504883,1
988,16.718000411987305,1
989,13.718000411987305,1
997,16.492000579833984,1
998,17.448999404907227,1
999,18.836000442504883,1
1000,18.836000442504883,1
1001,18.836000442504883,1
1002,16.718000411987305,1
1011,14.66100025177002,1
1012,15.89900016784668,1
1013,16.641000747680664,1
1014,16.718000411987305,1
1015,16.718000411987305,1
1016,16.718000411987305,1
1017,16.59000015258789,1
1018,16.59000015258789,1
1028,15.98799991607666,1
1029,16.684999465942383,1
1030,16.684999465942383,1
1031,16.684999465942383,1
1032,16.59000015258789,1
1042,15.98799991607666,1
1043,16.684999465942383,1
1044,16.684999465942383,1
1045,16.684999465942383,1
1046,16.59000015258789,1
1055,18.4950008392334,1
1056,18.4950008392334,1
1057,18.4950008392334,1
1058,16.684999465942383,1
1059,16.684999465942383,1
1060,13.883000373840332,1
1069,18.4950008392334,1
1070,18.4950008392334,1
1071,18.4950008392334,1
1072,16.45599937438965,1
1073,14.12600040435791,1
1083,18.4950008392334,1
1084,18.4950008392334,1
1085,18.4950008392334,1
1086,16.45599937438965,1
1166,17.62700080871582,1
1167,18.344999313354492,1
1168,18.344999313354492,1
1169,18.344999313354492,1
1178,14.993000030517578,1
1180,17.62700080871582,1
1181,18.344999313354492,1
1182,18.344999313354492,1
1183,18.344999313354492,1
1184,16.468000411987305,1
1192,14.993000030517578,1
1193,16.492000579833984,1
1194,17.62700080871582,1
1195,18.836000442504883,1
1196,18.836000442504883,1
1197,18.836000442504883,1
1198,16.468000411987305,1
1206,14.993000030517578,1
1207,16.492000579833984,1
1208,17.448999404907227,1
1209,18.836000442504883,1
1210,18.836000442504883,1
1211,18.836000442504883,1
1212,16.718000411987305,1
1221,16.492000579833984,1
1222,17.448999404907227,1
1223,18.836000442504883,1
1224,18.836000442504883,1
1225,18.836000442504883,1
1226,16.718000411987305,1
1235,16.417999267578125,1
1236,16.60700035095215,1
1237,16.641000747680664,1
1238,16.718000411987305,1
1239,16.718000411987305,1
1240,16.718000411987305,1
1241,16.59000015258789,1
1242,16.59000015258789,1
1252,15.98799991607666,1
1253,16.558000564575195,1
1254,17.27899932861328,1
1255,17.27899932861328,1
1256,17.27899932861328,1
1257,17.027000427246094,1
1267,16.558000564575195,1
1268,17.27899932861328,1
1269,17.27899932861328,1
1270,17.27899932861328,1
1271,17.027000427246094,1
1281,16.558000564575195,1
1282,17.27899932861328,1
1283,17.27899932861328,1
1284,17.27899932861328,1
1285,17.027000427246094,1
1295,15.387999534606934,1
1296,14.505999565124512,1
1297,14.12600040435791,1
1307,15.387999534606934,1
1308,15.387999534606934,1
1309,15.387999534606934,1
1390,17.62700080871582,1
1391,18.344999313354492,1
1392,18.344999313354492,1
1393,18.344999313354492,1
1404,17.62700080871582,1
1405,18.344999313354492,1
1406,18.344999313354492,1
1407,18.344999313354492,1
1408,16.468000411987305,1
1416,14.993000030517578,1
1417,16.492000579833984,1
1418,17.62700080871582,1
1419,18.836000442504883,1
1420,18.836000442504883,1
1421,18.836000442504883,1
1422,16.468000411987305,1
1430,14.993000030517578,1
1431,16.492000579833984,1
1432,17.448999404907227,1
1433,18.836000442504883,1
1434,18.836000442504883,1
1435,18.836000442504883,1
1436,16.718000411987305,1
1445,16.492000579833984,1
1446,17.448999404907227,1
1447,18.836000442504883,1
1448,18.836000442504883,1
1449,18.836000442504883,1
1450,16.718000411987305,1
1459,16.417999267578125,1
1460,16.60700035095215,1
1461,16.641000747680664,1
1462,16.718000411987305,1
1463,16.718000411987305,1
1464,16.718000411987305,1
1465,16.59000015258789,1
1466,16.59000015258789,1
1477,16.558000564575195,1
1478,17.27899932861328,1
1479,17.27899932861328,1
1480,17.27899932861328,1
1481,17.027000427246094,1
1491,16.558000564575195,1
1492,17.27899932861328,1
1493,17.27899932861328,1
1494,17.27899932861328,1
1495,17.027000427246094,1
1505,16.558000564575195,1
1506,17.27899932861328,1
1507,17.27899932861328,1
1508,17.27899932861328,1
1509,17.027000427246094,1
1519,12.868000030517578,1
1520,12.868000030517578,1
1614,17.62700080871582,1
1615,17.62700080871582,1
1616,17.62700080871582,1
1628,17.62700080871582,1
1629,18.174999237060547,1
1630,18.174999237060547,1
1631,18.174999237060547,1
1642,17.62700080871582,1
1643,18.174999237060547,1
1644,18.174999237060547,1
1645,18.174999237060547,1
1646,15.939000129699707,1
1656,17.089000701904297,1
1657,18.174999237060547,1
1658,18.174999237060547,1
1659,18.174999237060547,1
1660,15.939000129699707,1
1672,16.60700035095215,1
1673,16.48699951171875,1
1674,15.939000129699707,1
1683,16.417999267578125,1
1684,16.60700035095215,1
1685,16.60700035095215,1
1686,16.60700035095215,1
1702,17.27899932861328,1
1703,17.27899932861328,1
1704,17.27899932861328,1
1705,17.027000427246094,1
1716,17.27899932861328,1
1717,17.27899932861328,1
1718,17.27899932861328,1
1719,17.027000427246094,1
1730,17.27899932861328,1
1731,17.27899932861328,1
1732,17.27899932861328,1
1733,17.027000427246094,1
1927,15.57800006866455,1
1941,15.57800006866455,1
1942,15.57800006866455,1
1943,15.57800006866455,1
4698,12.72599983215332,1
4699,12.72599983215332,1
4700,12.72599983215332,1
4735,12.72599983215332,1
4736,12.72599983215332,1
4737,12.72599983215332,1
4772,12.72599983215332,1
4773,12.72599983215332,1
4774,12.72599983215332,1
4843,12.769000053405762,1
4844,12.769000053405762,1
4845,12.769000053405762,1
4880,12.769000053405762,1
4881,12.769000053405762,1
4882,12.769000053405762,1
4917,12.769000053405762,1
4918,12.769000053405762,1
4919,12.769000053405762,1
5296,25.516000747680664,1
5297,25.516000747680664,1
5298,25.516000747680664,1
5333,25.516000747680664,1
5334,25.516000747680664,1
5335,25.516000747680664,1
5370,25.516000747680664,1
5371,25.516000747680664,1
5372,25.516000747680664,1
5695,13.756999969482422,1
5696,14.270999908447266,1
5697,14.270999908447266,1
5698,14.270999908447266,1
5699,13.871999740600586,1
5732,13.756999969482422,1
5733,14.270999908447266,1
5734,14.270999908447266,1
5735,14.270999908447266,1
5736,13.871999740600586,1
5737,12.831000328063965,1
5738,12.831000328063965,1
5769,13.756999969482422,1
5770,14.270999908447266,1
5771,14.270999908447266,1
5772,14.270999908447266,1
5773,13.928000450134277,1
5774,13.928000450134277,1
5775,12.831000328063965,1
5805,12.843999862670898,1
5806,14.180999755859375,1
5807,14.394000053405762,1
5808,14.394000053405762,1
5809,14.394000053405762,1
5810,13.928000450134277,1
5811,13.928000450134277,1
5812,12.831000328063965,1
5841,14.883000373840332,1
5842,14.954000473022461,1
5843,14.954000473022461,1
5844,14.954000473022461,1
5845,14.597000122070312,1
5846,14.394000053405762,1
5847,13.928000450134277,1
5848,13.928000450134277,1
5880,14.954000473022461,1
5881,14.954000473022461,1
5882,14.597000122070312,1
5883,14.394000053405762,1
5884,13.595999717712402,1
5917,14.954000473022461,1
5918,14.954000473022461,1
5919,14.597000122070312,1
5920,13.727999687194824,1
5921,13.595999717712402,1
5954,14.630000114440918,1
5955,14.630000114440918,1
