,scores,cavity
688,11.786999702453613,1
689,11.786999702453613,1
690,11.786999702453613,1
710,11.786999702453613,1
711,11.786999702453613,1
712,11.786999702453613,1
732,11.786999702453613,1
733,11.786999702453613,1
734,11.786999702453613,1
996,12.63700008392334,1
997,12.63700008392334,1
998,12.63700008392334,1
1018,12.63700008392334,1
1019,12.63700008392334,1
1020,12.63700008392334,1
1041,12.63700008392334,1
1042,12.63700008392334,1
1303,11.793000221252441,1
1304,12.63700008392334,1
1305,12.63700008392334,1
1306,12.63700008392334,1
1325,11.793000221252441,1
1326,12.63700008392334,1
1327,12.63700008392334,1
1328,12.63700008392334,1
1349,12.63700008392334,1
1350,12.63700008392334,1
1589,12.376999855041504,1
1590,12.376999855041504,1
1591,12.376999855041504,1
1611,13.604000091552734,1
1612,13.840999603271484,1
1613,13.840999603271484,1
1614,13.840999603271484,1
1615,12.079000473022461,1
1633,13.604000091552734,1
1634,13.840999603271484,1
1635,13.840999603271484,1
1636,13.840999603271484,1
1637,12.079000473022461,1
1657,13.840999603271484,1
1658,13.840999603271484,1
1659,12.079000473022461,1
1897,12.376999855041504,1
1898,12.376999855041504,1
1899,12.376999855041504,1
1917,12.413999557495117,1
1918,12.413999557495117,1
1919,13.604000091552734,1
1920,13.840999603271484,1
1921,13.840999603271484,1
1922,13.840999603271484,1
1923,12.079000473022461,1
1939,12.413999557495117,1
1940,12.413999557495117,1
1941,13.604000091552734,1
1942,13.840999603271484,1
1943,13.840999603271484,1
1944,13.840999603271484,1
1945,12.079000473022461,1
1965,13.840999603271484,1
1966,13.840999603271484,1
1967,12.079000473022461,1
2205,12.376999855041504,1
2206,12.376999855041504,1
2207,12.376999855041504,1
2225,12.413999557495117,1
2226,12.413999557495117,1
2227,13.604000091552734,1
2228,13.840999603271484,1
2229,13.840999603271484,1
2230,13.840999603271484,1
2231,12.079000473022461,1
2247,15.545999526977539,1
2248,15.545999526977539,1
2249,15.545999526977539,1
2250,13.840999603271484,1
2251,13.840999603271484,1
2252,13.840999603271484,1
2253,12.079000473022461,1
2269,15.545999526977539,1
2270,15.545999526977539,1
2271,15.545999526977539,1
2272,13.840999603271484,1
2273,13.840999603271484,1
2274,13.840999603271484,1
2275,12.079000473022461,1
2291,15.545999526977539,1
2292,15.545999526977539,1
2293,15.545999526977539,1
2533,12.413999557495117,1
2534,12.413999557495117,1
2535,12.413999557495117,1
2536,12.803999900817871,1
2537,12.803999900817871,1
2538,12.803999900817871,1
2555,15.545999526977539,1
2556,15.545999526977539,1
2557,15.545999526977539,1
2558,12.803999900817871,1
2559,12.803999900817871,1
2560,12.803999900817871,1
2577,18.445999145507812,1
2578,18.445999145507812,1
2579,18.445999145507812,1
2580,12.803999900817871,1
2581,12.803999900817871,1
2582,12.803999900817871,1
2598,16.173999786376953,1
2599,18.445999145507812,1
2600,18.445999145507812,1
2601,18.445999145507812,1
2620,16.173999786376953,1
2621,18.445999145507812,1
2622,18.445999145507812,1
2623,18.445999145507812,1
2642,16.173999786376953,1
2643,16.173999786376953,1
2644,16.173999786376953,1
2645,15.467000007629395,1
2664,11.21500015258789,1
2665,13.753000259399414,1
2666,13.753000259399414,1
2667,13.753000259399414,1
2863,15.545999526977539,1
2864,15.545999526977539,1
2865,15.545999526977539,1
2885,18.445999145507812,1
2886,18.445999145507812,1
2887,18.445999145507812,1
2906,16.173999786376953,1
2907,18.445999145507812,1
2908,18.445999145507812,1
2909,18.445999145507812,1
2928,16.173999786376953,1
2929,18.445999145507812,1
2930,18.445999145507812,1
2931,18.445999145507812,1
2950,16.173999786376953,1
2951,17.325000762939453,1
2952,17.325000762939453,1
2953,17.325000762939453,1
2972,12.708000183105469,1
2973,13.928999900817871,1
2974,13.928999900817871,1
3193,18.445999145507812,1
3194,18.445999145507812,1
3195,18.445999145507812,1
3214,16.173999786376953,1
3215,18.445999145507812,1
3216,18.445999145507812,1
3217,18.445999145507812,1
3236,16.173999786376953,1
3237,18.445999145507812,1
3238,18.445999145507812,1
3239,18.445999145507812,1
3258,16.173999786376953,1
3259,17.325000762939453,1
3260,17.325000762939453,1
3261,17.325000762939453,1
3280,12.708000183105469,1
3281,13.928999900817871,1
3282,13.928999900817871,1
3501,12.892999649047852,1
3502,12.892999649047852,1
3503,12.892999649047852,1
3522,15.782999992370605,1
3523,17.325000762939453,1
3524,17.325000762939453,1
3525,17.325000762939453,1
3529,46.97600173950195,1
3544,15.782999992370605,1
3545,17.325000762939453,1
3546,17.325000762939453,1
3547,17.325000762939453,1
3550,50.880001068115234,1
3551,50.880001068115234,1
3566,15.782999992370605,1
3567,17.325000762939453,1
3568,17.325000762939453,1
3569,17.325000762939453,1
3572,50.880001068115234,1
3573,50.880001068115234,1
3588,12.708000183105469,1
3589,13.928999900817871,1
3590,13.928999900817871,1
3594,50.880001068115234,1
3595,50.880001068115234,1
3881,14.534000396728516,1
4152,11.795000076293945,1
4153,11.795000076293945,1
4154,11.795000076293945,1
4174,13.20199966430664,1
4175,13.20199966430664,1
4176,13.20199966430664,1
4177,10.977999687194824,1
4189,14.534000396728516,1
4196,13.20199966430664,1
4197,13.20199966430664,1
4198,13.20199966430664,1
4199,12.21500015258789,1
4220,13.20199966430664,1
4221,12.21500015258789,1
4243,12.21500015258789,1
4437,14.597000122070312,1
4438,14.597000122070312,1
4439,14.597000122070312,1
4440,14.001999855041504,1
4458,14.265999794006348,1
4459,19.239999771118164,1
4460,19.239999771118164,1
4461,19.239999771118164,1
4462,15.71399974822998,1
4480,14.265999794006348,1
4481,19.239999771118164,1
4482,19.239999771118164,1
4483,19.239999771118164,1
4484,15.71399974822998,1
4485,11.642999649047852,1
4502,14.265999794006348,1
4503,19.239999771118164,1
4504,19.239999771118164,1
4505,19.239999771118164,1
4506,15.71399974822998,1
4507,12.21500015258789,1
4525,15.189000129699707,1
4526,15.189000129699707,1
4527,15.189000129699707,1
4528,14.95300006866455,1
4529,12.21500015258789,1
4551,12.21500015258789,1
4745,14.597000122070312,1
4746,14.597000122070312,1
4747,14.597000122070312,1
4748,14.043000221252441,1
4766,14.265999794006348,1
4767,19.239999771118164,1
4768,19.239999771118164,1
4769,19.239999771118164,1
4770,15.857999801635742,1
4788,14.265999794006348,1
4789,19.239999771118164,1
4790,19.239999771118164,1
4791,19.239999771118164,1
4792,15.857999801635742,1
4793,11.642999649047852,1
4811,19.239999771118164,1
4812,19.239999771118164,1
4813,19.239999771118164,1
4814,15.857999801635742,1
4815,12.21500015258789,1
4833,15.189000129699707,1
4834,15.189000129699707,1
4835,15.189000129699707,1
4836,14.95300006866455,1
4837,12.21500015258789,1
4859,12.21500015258789,1
5053,14.597000122070312,1
5054,14.597000122070312,1
5055,14.597000122070312,1
5056,14.043000221252441,1
5075,19.239999771118164,1
5076,19.239999771118164,1
5077,19.239999771118164,1
5078,15.857999801635742,1
5098,19.239999771118164,1
5099,19.239999771118164,1
5100,15.857999801635742,1
5101,11.642999649047852,1
5120,19.239999771118164,1
5121,19.239999771118164,1
5122,15.857999801635742,1
5123,11.642999649047852,1
5142,15.189000129699707,1
5143,15.189000129699707,1
5144,14.95300006866455,1
5145,11.642999649047852,1
5362,14.043000221252441,1
5363,14.043000221252441,1
5364,14.043000221252441,1
5383,19.027000427246094,1
5384,19.027000427246094,1
5385,19.027000427246094,1
5386,15.857999801635742,1
5406,19.027000427246094,1
5407,19.027000427246094,1
5408,15.857999801635742,1
5428,19.027000427246094,1
5429,19.027000427246094,1
5430,15.857999801635742,1
5451,11.72599983215332,1
5452,11.72599983215332,1
5670,13.164999961853027,1
5671,13.164999961853027,1
5672,13.164999961853027,1
5692,13.164999961853027,1
5693,13.164999961853027,1
5694,13.164999961853027,1
5715,13.164999961853027,1
5716,13.164999961853027,1
5737,11.78499984741211,1
7263,12.836999893188477,1
7285,12.836999893188477,1
7307,12.836999893188477,1
7329,12.545000076293945,1
7550,13.706999778747559,1
7551,13.706999778747559,1
7552,13.706999778747559,1
7553,12.253999710083008,1
7554,13.812999725341797,1
7555,13.812999725341797,1
7556,13.812999725341797,1
7571,16.00200080871582,1
7572,16.00200080871582,1
7573,16.00200080871582,1
7574,14.60200023651123,1
7576,13.812999725341797,1
7593,16.00200080871582,1
7594,16.00200080871582,1
7595,16.00200080871582,1
7615,16.00200080871582,1
7616,16.00200080871582,1
7617,16.00200080871582,1
7858,13.706999778747559,1
7859,13.706999778747559,1
7860,13.706999778747559,1
