,scores,cavity
1466,16.055999755859375,1
1467,16.055999755859375,1
1468,16.055999755859375,1
1486,12.720000267028809,1
1488,16.055999755859375,1
1489,16.055999755859375,1
1530,14.4350004196167,1
2169,16.231000900268555,1
2170,16.231000900268555,1
2171,16.231000900268555,1
2172,16.055999755859375,1
2190,13.732999801635742,1
2191,16.231000900268555,1
2192,16.231000900268555,1
2193,16.231000900268555,1
2194,16.055999755859375,1
2212,16.049999237060547,1
2213,16.461000442504883,1
2214,16.461000442504883,1
2215,16.461000442504883,1
2234,17.097000122070312,1
2235,17.097000122070312,1
2236,17.097000122070312,1
2237,16.461000442504883,1
2256,17.097000122070312,1
2257,17.097000122070312,1
2258,17.097000122070312,1
2259,16.461000442504883,1
2278,17.097000122070312,1
2279,17.097000122070312,1
2280,17.097000122070312,1
2873,16.417999267578125,1
2874,16.417999267578125,1
2875,16.417999267578125,1
2876,16.055999755859375,1
2894,13.732999801635742,1
2895,16.417999267578125,1
2896,16.417999267578125,1
2897,16.417999267578125,1
2898,16.055999755859375,1
2916,17.226999282836914,1
2917,17.226999282836914,1
2918,17.226999282836914,1
2919,16.461000442504883,1
2938,17.226999282836914,1
2939,17.226999282836914,1
2940,17.226999282836914,1
2941,16.461000442504883,1
2960,17.226999282836914,1
2961,17.226999282836914,1
2962,17.226999282836914,1
2963,16.461000442504883,1
2982,17.097000122070312,1
2983,17.097000122070312,1
2984,17.097000122070312,1
2985,15.031000137329102,1
3576,12.291999816894531,1
3577,16.417999267578125,1
3578,16.417999267578125,1
3579,16.417999267578125,1
3580,15.442999839782715,1
3598,14.16100025177002,1
3599,16.417999267578125,1
3600,16.417999267578125,1
3601,16.417999267578125,1
3620,17.226999282836914,1
3621,17.226999282836914,1
3622,17.226999282836914,1
3623,16.461000442504883,1
3642,17.226999282836914,1
3643,17.226999282836914,1
3644,17.226999282836914,1
3645,16.461000442504883,1
3664,17.226999282836914,1
3665,17.226999282836914,1
3666,17.226999282836914,1
3667,16.461000442504883,1
3686,17.097000122070312,1
3687,17.097000122070312,1
3688,17.097000122070312,1
3689,14.397000312805176,1
4280,12.291999816894531,1
4281,16.417999267578125,1
4282,16.417999267578125,1
4283,16.417999267578125,1
4284,15.182000160217285,1
4301,12.208999633789062,1
4303,16.417999267578125,1
4304,16.417999267578125,1
4305,16.417999267578125,1
4323,12.208999633789062,1
4324,17.226999282836914,1
4325,17.226999282836914,1
4326,17.226999282836914,1
4327,16.417999267578125,1
4345,12.208999633789062,1
4346,17.226999282836914,1
4347,17.226999282836914,1
4348,17.226999282836914,1
4368,17.226999282836914,1
4369,17.226999282836914,1
4370,17.226999282836914,1
4390,16.20400047302246,1
4391,16.20400047302246,1
4392,16.20400047302246,1
4984,12.291999816894531,1
4985,15.142999649047852,1
4986,15.182000160217285,1
4987,15.182000160217285,1
4988,15.182000160217285,1
5005,12.208999633789062,1
5027,12.208999633789062,1
5049,12.208999633789062,1
5709,12.208999633789062,1
5731,12.208999633789062,1
5753,12.208999633789062,1
7670,14.854999542236328,1
7671,14.854999542236328,1
7672,14.854999542236328,1
7692,14.854999542236328,1
7693,14.854999542236328,1
7694,14.854999542236328,1
8374,14.854999542236328,1
8375,14.854999542236328,1
8376,14.854999542236328,1
8396,14.854999542236328,1
8397,14.854999542236328,1
8398,14.854999542236328,1
9016,12.298999786376953,1
9038,12.298999786376953,1
9056,14.854999542236328,1
9057,14.854999542236328,1
9058,14.854999542236328,1
9059,12.298999786376953,1
9060,12.298999786376953,1
9078,14.854999542236328,1
9079,14.854999542236328,1
9080,14.854999542236328,1
9100,14.854999542236328,1
9101,14.854999542236328,1
9102,14.854999542236328,1
9536,14.253999710083008,1
9537,14.253999710083008,1
9538,14.253999710083008,1
9558,14.253999710083008,1
9559,14.253999710083008,1
9560,14.253999710083008,1
9580,14.253999710083008,1
9581,14.253999710083008,1
9582,14.253999710083008,1
9628,13.644000053405762,1
9629,13.644000053405762,1
9630,13.644000053405762,1
9650,13.644000053405762,1
9651,13.644000053405762,1
9652,13.644000053405762,1
9672,13.644000053405762,1
9673,13.644000053405762,1
9674,13.644000053405762,1
10217,17.163999557495117,1
10218,17.163999557495117,1
10219,17.163999557495117,1
10224,14.437000274658203,1
10225,14.437000274658203,1
10226,14.437000274658203,1
10239,17.56100082397461,1
10240,17.56100082397461,1
10241,17.56100082397461,1
10242,15.12399959564209,1
10246,14.437000274658203,1
10247,14.437000274658203,1
10248,14.437000274658203,1
10249,12.034000396728516,1
10261,17.56100082397461,1
10262,17.56100082397461,1
10263,17.56100082397461,1
10264,15.12399959564209,1
10268,14.437000274658203,1
10269,14.437000274658203,1
10270,14.437000274658203,1
10271,12.034000396728516,1
10283,17.56100082397461,1
10284,17.56100082397461,1
10285,17.56100082397461,1
10286,15.12399959564209,1
10292,13.918000221252441,1
10293,12.034000396728516,1
10309,13.22599983215332,1
10310,13.22599983215332,1
10311,14.156000137329102,1
10312,14.156000137329102,1
10313,14.156000137329102,1
10331,13.22599983215332,1
10332,13.644000053405762,1
10333,14.156000137329102,1
10334,14.156000137329102,1
10335,14.156000137329102,1
10353,13.22599983215332,1
10354,13.644000053405762,1
10355,14.156000137329102,1
10356,14.156000137329102,1
10357,14.156000137329102,1
10376,13.644000053405762,1
10377,13.644000053405762,1
10378,13.644000053405762,1
10379,11.708999633789062,1
10905,13.788000106811523,1
10906,13.788000106811523,1
10907,13.788000106811523,1
10922,17.163999557495117,1
10923,17.163999557495117,1
10928,14.822999954223633,1
10929,14.822999954223633,1
10930,14.822999954223633,1
10931,12.857999801635742,1
10943,17.56100082397461,1
10944,17.56100082397461,1
10945,17.56100082397461,1
10946,15.12399959564209,1
10950,16.729000091552734,1
10951,17.604999542236328,1
10952,17.604999542236328,1
10953,17.604999542236328,1
10965,17.56100082397461,1
10966,17.56100082397461,1
10967,17.56100082397461,1
10968,15.12399959564209,1
10972,16.729000091552734,1
10973,17.604999542236328,1
10974,17.604999542236328,1
10975,17.604999542236328,1
10987,17.56100082397461,1
10988,17.56100082397461,1
10989,17.56100082397461,1
10990,15.12399959564209,1
10994,16.729000091552734,1
10995,17.604999542236328,1
10996,17.604999542236328,1
10997,17.604999542236328,1
11013,13.22599983215332,1
11014,13.545000076293945,1
11015,14.156000137329102,1
11016,14.156000137329102,1
11017,14.156000137329102,1
11018,13.539999961853027,1
11019,13.539999961853027,1
11035,13.22599983215332,1
11036,13.644000053405762,1
11037,14.156000137329102,1
11038,14.156000137329102,1
11039,14.156000137329102,1
11040,13.065999984741211,1
11057,13.22599983215332,1
11058,13.644000053405762,1
11059,14.156000137329102,1
11060,14.156000137329102,1
11061,14.156000137329102,1
11062,13.065999984741211,1
11080,13.644000053405762,1
11081,13.644000053405762,1
11082,13.644000053405762,1
11083,11.708999633789062,1
11587,14.354000091552734,1
11588,14.354000091552734,1
11589,14.354000091552734,1
11609,14.354000091552734,1
11610,14.354000091552734,1
11611,14.354000091552734,1
11624,17.895999908447266,1
11625,17.895999908447266,1
11626,17.895999908447266,1
11627,17.601999282836914,1
11632,15.847999572753906,1
11633,16.25,1
11634,16.25,1
11635,16.25,1
11646,17.895999908447266,1
11647,17.895999908447266,1
11648,17.895999908447266,1
11649,17.601999282836914,1
11654,19.457000732421875,1
11655,22.41200065612793,1
11656,22.41200065612793,1
11657,22.41200065612793,1
