,scores,cavity
1017,16.820999145507812,1
1018,16.820999145507812,1
1019,16.820999145507812,1
1035,16.820999145507812,1
1036,16.820999145507812,1
1037,16.820999145507812,1
1053,16.820999145507812,1
1054,16.820999145507812,1
1055,16.820999145507812,1
1450,16.820999145507812,1
1451,16.820999145507812,1
1468,16.820999145507812,1
1469,16.820999145507812,1
1485,16.820999145507812,1
1486,16.820999145507812,1
1487,16.820999145507812,1
1882,16.820999145507812,1
1883,16.820999145507812,1
1901,16.820999145507812,1
1919,16.820999145507812,1
2921,16.356000900268555,1
2922,16.356000900268555,1
2923,16.356000900268555,1
2939,16.356000900268555,1
2940,16.356000900268555,1
2941,16.356000900268555,1
2957,16.356000900268555,1
2958,16.356000900268555,1
2959,16.356000900268555,1
3353,16.356000900268555,1
3354,16.356000900268555,1
3355,16.356000900268555,1
3356,15.118000030517578,1
3371,16.356000900268555,1
3372,16.356000900268555,1
3373,16.356000900268555,1
3374,15.118000030517578,1
3389,16.356000900268555,1
3390,16.356000900268555,1
3391,16.356000900268555,1
3392,15.118000030517578,1
3407,15.197999954223633,1
3408,15.197999954223633,1
3409,15.197999954223633,1
3785,16.356000900268555,1
3786,16.356000900268555,1
3787,16.356000900268555,1
3788,15.118000030517578,1
3803,16.356000900268555,1
3804,16.356000900268555,1
3805,16.356000900268555,1
3806,15.118000030517578,1
3821,16.356000900268555,1
3822,16.356000900268555,1
3823,16.356000900268555,1
3824,15.118000030517578,1
3839,15.197999954223633,1
3840,15.197999954223633,1
3841,15.197999954223633,1
4221,15.012999534606934,1
4235,15.951000213623047,1
4236,15.951000213623047,1
4237,15.951000213623047,1
4239,15.012999534606934,1
4253,15.951000213623047,1
4254,15.951000213623047,1
4255,15.951000213623047,1
4256,15.118000030517578,1
4257,15.012999534606934,1
4271,15.197999954223633,1
4272,15.197999954223633,1
4273,15.197999954223633,1
4653,15.012999534606934,1
4667,15.449000358581543,1
4671,15.012999534606934,1
4685,15.449000358581543,1
4686,15.449000358581543,1
4687,15.449000358581543,1
4688,15.012999534606934,1
4689,15.012999534606934,1
4703,14.746999740600586,1
4704,14.746999740600586,1
4705,14.746999740600586,1
4836,17.770000457763672,1
4837,17.770000457763672,1
4838,17.770000457763672,1
4854,17.770000457763672,1
4855,17.770000457763672,1
4856,17.770000457763672,1
4872,17.770000457763672,1
4873,18.013999938964844,1
4874,18.013999938964844,1
4875,18.013999938964844,1
4891,18.013999938964844,1
4892,18.013999938964844,1
4893,18.013999938964844,1
4909,18.013999938964844,1
4910,18.013999938964844,1
4911,18.013999938964844,1
5085,15.012999534606934,1
5103,15.012999534606934,1
5120,15.012999534606934,1
5121,15.012999534606934,1
5268,17.770000457763672,1
5269,17.770000457763672,1
5270,17.770000457763672,1
5286,19.775999069213867,1
5287,19.775999069213867,1
5288,19.775999069213867,1
5304,19.775999069213867,1
5305,19.775999069213867,1
5306,19.775999069213867,1
5307,18.013999938964844,1
5322,19.775999069213867,1
5323,19.775999069213867,1
5324,19.775999069213867,1
5325,18.013999938964844,1
5341,18.013999938964844,1
5342,18.013999938964844,1
5343,18.013999938964844,1
5493,15.994000434875488,1
5511,15.994000434875488,1
5512,15.994000434875488,1
5700,17.770000457763672,1
5701,17.770000457763672,1
5702,17.770000457763672,1
5718,19.775999069213867,1
5719,19.775999069213867,1
5720,19.775999069213867,1
5736,19.775999069213867,1
5737,19.775999069213867,1
5738,19.775999069213867,1
5739,18.910999298095703,1
5754,19.775999069213867,1
5755,19.775999069213867,1
5756,19.775999069213867,1
5757,18.910999298095703,1
5773,18.910999298095703,1
5774,18.910999298095703,1
5775,18.910999298095703,1
5889,17.148000717163086,1
5890,17.148000717163086,1
5891,17.148000717163086,1
5892,33.15999984741211,1
5907,17.148000717163086,1
5908,17.148000717163086,1
5909,17.148000717163086,1
5925,17.148000717163086,1
5926,17.148000717163086,1
5927,17.148000717163086,1
5928,16.579999923706055,1
5942,15.944000244140625,1
5943,16.516000747680664,1
5944,16.516000747680664,1
5945,16.516000747680664,1
5946,15.87399959564209,1
6150,19.775999069213867,1
6151,19.775999069213867,1
6152,19.775999069213867,1
6168,19.775999069213867,1
6169,19.775999069213867,1
6170,19.775999069213867,1
6171,18.910999298095703,1
6186,19.775999069213867,1
6187,19.775999069213867,1
6188,19.775999069213867,1
6189,18.910999298095703,1
6205,18.910999298095703,1
6206,18.910999298095703,1
6207,18.910999298095703,1
6306,31.93199920654297,1
6321,17.304000854492188,1
6322,17.304000854492188,1
6323,17.304000854492188,1
6324,33.15999984741211,1
6339,17.304000854492188,1
6340,17.304000854492188,1
6341,17.304000854492188,1
6342,16.579999923706055,1
6357,17.304000854492188,1
6358,17.304000854492188,1
6359,17.304000854492188,1
6360,16.579999923706055,1
6374,15.944000244140625,1
6375,16.516000747680664,1
6376,16.516000747680664,1
6377,16.516000747680664,1
6378,15.87399959564209,1
6582,18.138999938964844,1
6583,18.138999938964844,1
6584,18.138999938964844,1
6600,18.138999938964844,1
6601,18.910999298095703,1
6602,18.910999298095703,1
6603,18.910999298095703,1
6619,18.910999298095703,1
6620,18.910999298095703,1
6621,18.910999298095703,1
6637,18.910999298095703,1
6638,18.910999298095703,1
6639,18.910999298095703,1
6738,31.93199920654297,1
6741,30.461999893188477,1
6753,17.304000854492188,1
6754,17.304000854492188,1
6755,17.304000854492188,1
6756,33.15999984741211,1
6771,17.304000854492188,1
6772,17.304000854492188,1
6773,17.304000854492188,1
6774,16.579999923706055,1
6789,17.304000854492188,1
6790,17.304000854492188,1
6791,17.304000854492188,1
6792,16.579999923706055,1
6806,15.944000244140625,1
6807,16.516000747680664,1
6808,16.516000747680664,1
6809,16.516000747680664,1
7170,31.93199920654297,1
7172,34.48400115966797,1
7173,34.48400115966797,1
7185,17.304000854492188,1
7186,17.304000854492188,1
7187,17.304000854492188,1
7188,31.93199920654297,1
7190,34.48400115966797,1
7191,34.48400115966797,1
7203,17.304000854492188,1
7204,17.304000854492188,1
7205,17.304000854492188,1
7206,15.965999603271484,1
7221,17.304000854492188,1
7222,17.304000854492188,1
7223,17.304000854492188,1
7224,15.539999961853027,1
7406,16.371999740600586,1
7424,16.371999740600586,1
7443,16.476999282836914,1
7604,35.2859992980957,1
7605,35.2859992980957,1
7622,35.2859992980957,1
7623,35.2859992980957,1
7818,15.618000030517578,1
7819,15.618000030517578,1
7820,15.618000030517578,1
7836,16.840999603271484,1
7837,16.840999603271484,1
7838,16.840999603271484,1
7854,16.840999603271484,1
7855,16.840999603271484,1
7856,16.840999603271484,1
7875,16.57200050354004,1
8036,35.2859992980957,1
8037,35.2859992980957,1
8054,35.2859992980957,1
8055,35.2859992980957,1
8268,16.840999603271484,1
8269,16.840999603271484,1
8270,16.840999603271484,1
8271,16.645000457763672,1
8286,16.840999603271484,1
8287,16.840999603271484,1
8288,16.840999603271484,1
8289,16.799999237060547,1
8468,35.2859992980957,1
8469,35.2859992980957,1
8486,35.2859992980957,1
8487,35.2859992980957,1
8700,16.840999603271484,1
8701,16.840999603271484,1
8702,16.840999603271484,1
8703,16.645000457763672,1
8718,16.840999603271484,1
8719,16.840999603271484,1
8720,16.840999603271484,1
8721,16.799999237060547,1
8736,16.840999603271484,1
8737,16.840999603271484,1
8754,16.559999465942383,1
8882,16.72800064086914,1
8883,16.72800064086914,1
8884,16.72800064086914,1
8900,33.45600128173828,1
8901,33.45600128173828,1
8902,16.72800064086914,1
8918,33.45600128173828,1
8919,33.45600128173828,1
8920,16.72800064086914,1
9133,16.645000457763672,1
9134,16.645000457763672,1
9135,16.645000457763672,1
9151,16.799999237060547,1
9152,16.799999237060547,1
9153,16.799999237060547,1
9169,16.799999237060547,1
9187,16.799999237060547,1
9565,15.586000442504883,1
9566,15.586000442504883,1
9567,15.586000442504883,1
10554,15.324999809265137,1
10950,15.324999809265137,1
10951,16.079999923706055,1
10952,16.079999923706055,1
10953,16.079999923706055,1
10968,15.324999809265137,1
10969,16.079999923706055,1
10970,16.079999923706055,1
10971,16.079999923706055,1
10986,15.324999809265137,1
10987,16.079999923706055,1
10988,16.079999923706055,1
10989,16.079999923706055,1
13301,14.755999565124512,1
13302,14.755999565124512,1
13303,14.755999565124512,1
13324,14.755999565124512,1
13325,14.755999565124512,1
13326,14.755999565124512,1
13347,14.755999565124512,1
13348,14.755999565124512,1
13349,14.755999565124512,1
13830,14.755999565124512,1
13831,14.755999565124512,1
13832,14.755999565124512,1
13852,14.819000244140625,1
13853,14.819000244140625,1
13854,14.819000244140625,1
13855,14.755999565124512,1
13875,14.819000244140625,1
13876,14.819000244140625,1
13877,14.819000244140625,1
13878,14.755999565124512,1
13898,14.819000244140625,1
13899,14.819000244140625,1
13900,14.819000244140625,1
14359,14.755999565124512,1
14360,14.755999565124512,1
14361,14.755999565124512,1
14381,15.258000373840332,1
14382,15.258000373840332,1
14383,15.258000373840332,1
14384,15.026000022888184,1
14403,15.003999710083008,1
14404,15.258000373840332,1
14405,15.258000373840332,1
14406,15.258000373840332,1
14407,15.026000022888184,1
14426,15.003999710083008,1
14427,15.258000373840332,1
14428,15.258000373840332,1
14429,15.258000373840332,1
14430,15.026000022888184,1
14449,15.003999710083008,1
14450,15.003999710083008,1
14451,15.003999710083008,1
14890,14.76200008392334,1
14891,14.82800006866455,1
14892,14.82800006866455,1
14893,14.82800006866455,1
14910,15.258000373840332,1
14911,15.258000373840332,1
14912,15.619999885559082,1
14913,15.619999885559082,1
14914,15.619999885559082,1
14915,14.82800006866455,1
