,scores,cavity
1183,19.472000122070312,1
1184,19.472000122070312,1
1185,19.472000122070312,1
1207,19.472000122070312,1
1208,19.472000122070312,1
1209,19.472000122070312,1
1231,19.472000122070312,1
1232,19.472000122070312,1
1233,19.472000122070312,1
1615,19.628999710083008,1
1616,19.628999710083008,1
1617,19.628999710083008,1
1639,19.628999710083008,1
1640,19.628999710083008,1
1641,19.628999710083008,1
1663,19.628999710083008,1
1664,19.628999710083008,1
1665,19.628999710083008,1
1842,15.770000457763672,1
1843,15.770000457763672,1
1844,15.770000457763672,1
1866,19.56999969482422,1
1867,19.56999969482422,1
1868,19.56999969482422,1
1890,19.56999969482422,1
1891,19.56999969482422,1
1892,19.56999969482422,1
1914,19.56999969482422,1
1915,19.56999969482422,1
1916,19.56999969482422,1
1939,16.334999084472656,1
1940,16.334999084472656,1
2047,19.628999710083008,1
2048,19.628999710083008,1
2049,19.628999710083008,1
2071,19.628999710083008,1
2072,19.628999710083008,1
2073,19.628999710083008,1
2095,19.628999710083008,1
2096,19.628999710083008,1
2097,19.628999710083008,1
2250,16.089000701904297,1
2251,16.089000701904297,1
2252,16.089000701904297,1
2274,16.089000701904297,1
2275,16.089000701904297,1
2276,16.089000701904297,1
2297,16.96299934387207,1
2298,19.56999969482422,1
2299,19.56999969482422,1
2300,19.56999969482422,1
2322,19.56999969482422,1
2323,19.56999969482422,1
2324,19.56999969482422,1
2346,19.56999969482422,1
2347,19.56999969482422,1
2348,19.56999969482422,1
2371,17.250999450683594,1
2372,17.250999450683594,1
2479,19.628999710083008,1
2480,19.628999710083008,1
2481,19.628999710083008,1
2502,16.886999130249023,1
2503,19.628999710083008,1
2504,19.628999710083008,1
2505,19.628999710083008,1
2526,16.886999130249023,1
2527,19.628999710083008,1
2528,19.628999710083008,1
2529,19.628999710083008,1
2682,16.089000701904297,1
2683,16.089000701904297,1
2684,16.089000701904297,1
2706,16.667999267578125,1
2707,16.667999267578125,1
2708,16.667999267578125,1
2729,16.96299934387207,1
2730,19.56999969482422,1
2731,19.56999969482422,1
2732,19.56999969482422,1
2754,19.56999969482422,1
2755,19.56999969482422,1
2756,19.56999969482422,1
2778,19.56999969482422,1
2779,19.56999969482422,1
2780,19.56999969482422,1
2803,17.250999450683594,1
2804,17.250999450683594,1
2911,19.530000686645508,1
2912,19.530000686645508,1
2913,19.530000686645508,1
2935,19.530000686645508,1
2936,19.530000686645508,1
2937,19.530000686645508,1
2958,16.886999130249023,1
2959,19.530000686645508,1
2960,19.530000686645508,1
2961,19.530000686645508,1
3114,16.089000701904297,1
3115,16.089000701904297,1
3116,16.089000701904297,1
3138,16.667999267578125,1
3139,16.667999267578125,1
3140,16.667999267578125,1
3161,16.96299934387207,1
3162,19.253000259399414,1
3163,19.253000259399414,1
3164,19.253000259399414,1
3185,16.96299934387207,1
3186,19.253000259399414,1
3187,19.253000259399414,1
3188,19.253000259399414,1
3209,16.96299934387207,1
3210,19.253000259399414,1
3211,19.253000259399414,1
3212,19.253000259399414,1
3234,17.250999450683594,1
3235,17.250999450683594,1
3236,17.250999450683594,1
3367,16.886999130249023,1
3368,16.886999130249023,1
3390,16.886999130249023,1
3391,16.886999130249023,1
3392,16.886999130249023,1
3523,15.996000289916992,1
3524,15.996000289916992,1
3525,15.996000289916992,1
3546,15.692999839782715,1
3547,15.996000289916992,1
3548,15.996000289916992,1
3549,15.996000289916992,1
3570,16.667999267578125,1
3571,16.667999267578125,1
3572,16.667999267578125,1
3573,15.996000289916992,1
3594,16.839000701904297,1
3595,16.839000701904297,1
3596,16.839000701904297,1
3597,15.277999877929688,1
3618,16.839000701904297,1
3619,16.839000701904297,1
3620,16.839000701904297,1
3642,16.839000701904297,1
3643,16.839000701904297,1
3644,16.839000701904297,1
3800,15.520999908447266,1
3824,15.520999908447266,1
3955,15.996000289916992,1
3956,15.996000289916992,1
3957,15.996000289916992,1
3978,15.36400032043457,1
3979,15.996000289916992,1
3980,15.996000289916992,1
3981,15.996000289916992,1
4002,15.701000213623047,1
4003,15.996000289916992,1
4004,15.996000289916992,1
4005,15.996000289916992,1
4024,17.073999404907227,1
4025,17.073999404907227,1
4026,17.073999404907227,1
4027,16.839000701904297,1
4028,16.839000701904297,1
4029,15.277999877929688,1
4048,17.073999404907227,1
4049,17.073999404907227,1
4050,17.073999404907227,1
4051,16.839000701904297,1
4052,16.839000701904297,1
4072,17.073999404907227,1
4073,17.073999404907227,1
4074,17.073999404907227,1
4075,16.839000701904297,1
4076,16.839000701904297,1
4387,15.996000289916992,1
4388,15.996000289916992,1
4389,15.996000289916992,1
4411,15.996000289916992,1
4412,15.996000289916992,1
4413,15.996000289916992,1
4431,17.114999771118164,1
4432,17.114999771118164,1
4433,17.114999771118164,1
4434,15.630000114440918,1
4435,15.996000289916992,1
4436,15.996000289916992,1
4437,15.996000289916992,1
4455,18.083999633789062,1
4456,18.083999633789062,1
4457,18.083999633789062,1
4458,17.073999404907227,1
4459,15.630000114440918,1
4460,15.630000114440918,1
4461,15.277999877929688,1
4479,18.083999633789062,1
4480,18.083999633789062,1
4481,18.083999633789062,1
4482,17.073999404907227,1
4483,15.630000114440918,1
4484,15.630000114440918,1
4503,18.083999633789062,1
4504,18.083999633789062,1
4505,18.083999633789062,1
4506,17.073999404907227,1
4528,16.01799964904785,1
4529,16.01799964904785,1
4530,16.01799964904785,1
4863,17.114999771118164,1
4864,17.114999771118164,1
4865,17.114999771118164,1
4887,18.083999633789062,1
4888,18.083999633789062,1
4889,18.083999633789062,1
4890,17.073999404907227,1
4911,18.083999633789062,1
4912,18.083999633789062,1
4913,18.083999633789062,1
4914,17.073999404907227,1
4935,18.083999633789062,1
4936,18.083999633789062,1
4937,18.083999633789062,1
4938,17.073999404907227,1
5295,17.114999771118164,1
5296,17.114999771118164,1
5297,17.114999771118164,1
5319,18.083999633789062,1
5320,18.083999633789062,1
5321,18.083999633789062,1
5343,18.083999633789062,1
5344,18.083999633789062,1
5345,18.083999633789062,1
5367,18.083999633789062,1
5368,18.083999633789062,1
5369,18.083999633789062,1
5478,16.881000518798828,1
5479,16.881000518798828,1
5480,16.881000518798828,1
5502,16.881000518798828,1
5503,16.881000518798828,1
5504,16.881000518798828,1
5505,15.508000373840332,1
