,scores,cavity
1087,18.979000091552734,1
1088,18.979000091552734,1
1089,18.979000091552734,1
1105,16.836999893188477,1
1106,18.979000091552734,1
1107,18.979000091552734,1
1108,18.979000091552734,1
1124,16.836999893188477,1
1125,18.979000091552734,1
1126,18.979000091552734,1
1127,18.979000091552734,1
1143,16.836999893188477,1
1144,18.334999084472656,1
1145,18.334999084472656,1
1146,18.334999084472656,1
1504,19.0049991607666,1
1505,21.448999404907227,1
1506,21.448999404907227,1
1507,21.448999404907227,1
1508,16.233999252319336,1
1523,21.562999725341797,1
1524,23.325000762939453,1
1525,23.325000762939453,1
1526,23.325000762939453,1
1527,18.43600082397461,1
1542,21.562999725341797,1
1543,23.325000762939453,1
1544,23.325000762939453,1
1545,23.325000762939453,1
1546,18.43600082397461,1
1561,21.562999725341797,1
1562,23.325000762939453,1
1563,23.325000762939453,1
1564,23.325000762939453,1
1565,18.43600082397461,1
1580,18.159000396728516,1
1581,18.159000396728516,1
1582,18.159000396728516,1
1583,17.20199966430664,1
1922,19.0049991607666,1
1923,21.448999404907227,1
1924,21.448999404907227,1
1925,21.448999404907227,1
1926,16.233999252319336,1
1940,16.780000686645508,1
1941,21.562999725341797,1
1942,23.325000762939453,1
1943,23.325000762939453,1
1944,23.325000762939453,1
1945,18.43600082397461,1
1959,16.780000686645508,1
1960,21.562999725341797,1
1961,23.325000762939453,1
1962,23.325000762939453,1
1963,23.325000762939453,1
1964,18.43600082397461,1
1978,16.780000686645508,1
1979,21.562999725341797,1
1980,23.325000762939453,1
1981,23.325000762939453,1
1982,23.325000762939453,1
1983,18.43600082397461,1
1998,19.450000762939453,1
1999,19.450000762939453,1
2000,19.450000762939453,1
2001,19.291000366210938,1
2002,16.22100067138672,1
2174,19.14699935913086,1
2175,19.14699935913086,1
2176,19.14699935913086,1
2177,17.738000869750977,1
2192,20.10099983215332,1
2193,22.177000045776367,1
2194,22.177000045776367,1
2195,22.177000045776367,1
2196,18.655000686645508,1
2211,20.10099983215332,1
2212,22.177000045776367,1
2213,22.177000045776367,1
2214,22.177000045776367,1
2215,18.655000686645508,1
2230,20.10099983215332,1
2231,22.177000045776367,1
2232,22.177000045776367,1
2233,22.177000045776367,1
2234,18.655000686645508,1
2250,17.815000534057617,1
2251,17.815000534057617,1
2340,19.0049991607666,1
2341,21.448999404907227,1
2342,21.448999404907227,1
2343,21.448999404907227,1
2344,16.233999252319336,1
2358,16.780000686645508,1
2359,21.562999725341797,1
2360,23.325000762939453,1
2361,23.325000762939453,1
2362,23.325000762939453,1
2363,18.43600082397461,1
2377,16.780000686645508,1
2378,21.562999725341797,1
2379,23.325000762939453,1
2380,23.325000762939453,1
2381,23.325000762939453,1
2382,18.43600082397461,1
2396,16.780000686645508,1
2397,21.562999725341797,1
2398,23.325000762939453,1
2399,23.325000762939453,1
2400,23.325000762939453,1
2401,18.43600082397461,1
2416,19.450000762939453,1
2417,19.450000762939453,1
2418,19.450000762939453,1
2419,19.291000366210938,1
2420,16.22100067138672,1
2553,16.26799964904785,1
2554,16.26799964904785,1
2555,16.26799964904785,1
2572,19.06999969482422,1
2573,19.06999969482422,1
2574,19.06999969482422,1
2591,22.742000579833984,1
2592,22.836999893188477,1
2593,22.836999893188477,1
2594,22.836999893188477,1
2595,19.957000732421875,1
2610,22.742000579833984,1
2611,25.040000915527344,1
2612,25.040000915527344,1
2613,25.040000915527344,1
2614,20.25200080871582,1
2629,22.742000579833984,1
2630,25.040000915527344,1
2631,25.040000915527344,1
2632,25.040000915527344,1
2633,20.25200080871582,1
2648,22.57900047302246,1
2649,25.040000915527344,1
2650,25.040000915527344,1
2651,25.040000915527344,1
2652,20.25200080871582,1
2668,19.34600067138672,1
2669,19.34600067138672,1
2731,19.562000274658203,1
2732,19.562000274658203,1
2733,16.993999481201172,1
2748,20.655000686645508,1
2749,20.655000686645508,1
2750,20.655000686645508,1
2751,19.562000274658203,1
2752,16.993999481201172,1
2758,18.979999542236328,1
2759,18.979999542236328,1
2760,18.979999542236328,1
2766,16.1299991607666,1
2767,20.655000686645508,1
2768,20.655000686645508,1
2769,20.655000686645508,1
2770,19.562000274658203,1
2771,16.993999481201172,1
2776,16.780000686645508,1
2777,19.996000289916992,1
2778,20.482999801635742,1
2779,20.482999801635742,1
2780,20.482999801635742,1
2786,20.655000686645508,1
2787,20.655000686645508,1
2788,20.655000686645508,1
2789,19.211000442504883,1
2795,16.780000686645508,1
2796,19.996000289916992,1
2797,20.482999801635742,1
2798,20.482999801635742,1
2799,20.482999801635742,1
2800,16.22100067138672,1
2814,16.780000686645508,1
2815,19.996000289916992,1
