,scores,cavity
716,14.602999687194824,1
734,14.602999687194824,1
735,14.133000373840332,1
744,15.727999687194824,1
745,17.091999053955078,1
746,17.091999053955078,1
747,17.091999053955078,1
752,14.602999687194824,1
753,14.133000373840332,1
762,15.727999687194824,1
763,17.091999053955078,1
764,17.091999053955078,1
765,17.091999053955078,1
769,14.133000373840332,1
770,14.133000373840332,1
771,14.133000373840332,1
779,16.777999877929688,1
780,16.777999877929688,1
781,17.091999053955078,1
782,17.091999053955078,1
783,17.091999053955078,1
797,16.777999877929688,1
798,16.777999877929688,1
799,16.777999877929688,1
800,15.98799991607666,1
815,16.777999877929688,1
816,16.777999877929688,1
817,16.777999877929688,1
818,15.98799991607666,1
958,15.234999656677246,1
959,18.131000518798828,1
960,18.131000518798828,1
961,18.131000518798828,1
962,15.911999702453613,1
976,15.234999656677246,1
977,18.131000518798828,1
978,18.131000518798828,1
979,18.131000518798828,1
980,15.911999702453613,1
994,15.234999656677246,1
995,18.131000518798828,1
996,18.131000518798828,1
997,18.131000518798828,1
998,15.911999702453613,1
999,13.342000007629395,1
1013,17.308000564575195,1
1014,17.308000564575195,1
1015,17.308000564575195,1
1016,16.81399917602539,1
1017,16.81399917602539,1
1018,16.81399917602539,1
1032,15.727999687194824,1
1033,17.091999053955078,1
1034,17.091999053955078,1
1035,17.091999053955078,1
1036,16.81399917602539,1
1041,14.133000373840332,1
1050,16.44700050354004,1
1051,17.091999053955078,1
1052,17.091999053955078,1
1053,17.091999053955078,1
1054,16.81399917602539,1
1057,14.133000373840332,1
1058,14.133000373840332,1
1059,14.133000373840332,1
1067,16.777999877929688,1
1068,16.777999877929688,1
1069,17.091999053955078,1
1070,17.091999053955078,1
1071,17.091999053955078,1
1072,15.090999603271484,1
1085,16.777999877929688,1
1086,16.777999877929688,1
1087,16.777999877929688,1
1088,16.44700050354004,1
1089,14.869000434875488,1
1103,16.777999877929688,1
1104,16.777999877929688,1
1105,16.777999877929688,1
1106,15.98799991607666,1
1191,15.82699966430664,1
1192,15.82699966430664,1
1193,15.82699966430664,1
1209,17.23699951171875,1
1210,17.599000930786133,1
1211,17.599000930786133,1
1212,17.599000930786133,1
1213,16.9060001373291,1
1227,17.23699951171875,1
1228,19.677000045776367,1
1229,19.677000045776367,1
1230,19.677000045776367,1
1231,18.7810001373291,1
1232,15.968999862670898,1
1245,17.23699951171875,1
1246,19.677000045776367,1
1247,21.533000946044922,1
1248,21.533000946044922,1
1249,21.533000946044922,1
1250,18.604999542236328,1
1263,17.020000457763672,1
1264,19.677000045776367,1
1265,21.533000946044922,1
1266,21.533000946044922,1
1267,21.533000946044922,1
1268,18.604999542236328,1
1269,14.086999893188477,1
1281,16.250999450683594,1
1282,18.715999603271484,1
1283,21.533000946044922,1
1284,21.533000946044922,1
1285,21.533000946044922,1
1286,18.604999542236328,1
1300,15.87399959564209,1
1301,17.493999481201172,1
1302,18.214000701904297,1
1303,18.214000701904297,1
1304,18.214000701904297,1
1305,18.079999923706055,1
1306,18.079999923706055,1
1320,15.779000282287598,1
