,scores,cavity
299,18.138999938964844,1
308,18.138999938964844,1
317,18.138999938964844,1
390,18.465999603271484,1
398,21.361000061035156,1
399,21.361000061035156,1
400,21.361000061035156,1
407,21.361000061035156,1
408,21.361000061035156,1
409,21.361000061035156,1
416,21.361000061035156,1
417,21.361000061035156,1
418,21.361000061035156,1
425,18.93000030517578,1
426,18.93000030517578,1
434,18.16699981689453,1
443,18.16699981689453,1
444,18.16699981689453,1
445,18.16699981689453,1
507,20.746999740600586,1
508,20.746999740600586,1
509,20.746999740600586,1
515,22.444000244140625,1
516,22.444000244140625,1
517,22.444000244140625,1
518,20.746999740600586,1
524,22.444000244140625,1
525,22.444000244140625,1
526,22.444000244140625,1
527,20.746999740600586,1
533,22.444000244140625,1
534,22.444000244140625,1
535,22.444000244140625,1
536,19.82900047302246,1
542,18.93000030517578,1
543,19.82900047302246,1
544,19.82900047302246,1
545,19.82900047302246,1
551,18.16699981689453,1
552,18.690000534057617,1
560,18.16699981689453,1
623,22.739999771118164,1
624,22.739999771118164,1
625,22.739999771118164,1
626,20.746999740600586,1
632,22.739999771118164,1
633,22.739999771118164,1
634,22.739999771118164,1
635,21.20599937438965,1
641,22.739999771118164,1
642,22.739999771118164,1
643,22.739999771118164,1
644,21.20599937438965,1
650,22.444000244140625,1
651,22.444000244140625,1
652,22.444000244140625,1
653,21.20599937438965,1
659,18.93000030517578,1
660,20.42099952697754,1
661,20.42099952697754,1
662,20.42099952697754,1
668,18.16699981689453,1
677,18.16699981689453,1
740,22.815000534057617,1
741,22.815000534057617,1
742,22.815000534057617,1
743,20.929000854492188,1
749,22.815000534057617,1
750,22.815000534057617,1
751,22.815000534057617,1
752,21.20599937438965,1
758,22.815000534057617,1
759,22.815000534057617,1
760,22.815000534057617,1
761,21.20599937438965,1
767,22.444000244140625,1
768,22.444000244140625,1
769,22.444000244140625,1
770,21.20599937438965,1
776,19.55699920654297,1
777,20.42099952697754,1
778,20.42099952697754,1
779,20.42099952697754,1
785,19.55699920654297,1
786,19.55699920654297,1
787,19.55699920654297,1
839,18.04199981689453,1
848,20.790000915527344,1
849,20.790000915527344,1
