,scores,cavity
346,11.902000427246094,1
347,11.902000427246094,1
348,11.902000427246094,1
357,11.902000427246094,1
358,11.902000427246094,1
359,11.902000427246094,1
368,11.902000427246094,1
369,11.902000427246094,1
370,11.902000427246094,1
478,11.902000427246094,1
479,11.902000427246094,1
489,11.902000427246094,1
490,11.902000427246094,1
491,11.902000427246094,1
500,11.902000427246094,1
501,11.902000427246094,1
502,11.902000427246094,1
609,9.92199993133545,1
610,12.380999565124512,1
611,13.255999565124512,1
612,13.255999565124512,1
613,13.255999565124512,1
620,9.92199993133545,1
621,12.380999565124512,1
622,13.255999565124512,1
623,13.255999565124512,1
624,13.255999565124512,1
632,12.380999565124512,1
633,13.255999565124512,1
634,13.255999565124512,1
635,13.255999565124512,1
731,12.581999778747559,1
732,14.70199966430664,1
733,14.70199966430664,1
734,14.70199966430664,1
741,9.92199993133545,1
742,12.581999778747559,1
743,17.160999298095703,1
744,17.160999298095703,1
745,17.160999298095703,1
752,9.92199993133545,1
753,12.581999778747559,1
754,17.160999298095703,1
755,17.160999298095703,1
756,17.160999298095703,1
764,12.496999740600586,1
765,17.160999298095703,1
766,17.160999298095703,1
767,17.160999298095703,1
827,14.159000396728516,1
838,14.159000396728516,1
849,14.159000396728516,1
850,14.159000396728516,1
851,14.159000396728516,1
863,12.753999710083008,1
864,14.70199966430664,1
865,14.70199966430664,1
866,14.70199966430664,1
873,9.92199993133545,1
874,12.753999710083008,1
875,17.160999298095703,1
876,17.160999298095703,1
877,17.160999298095703,1
884,9.92199993133545,1
885,12.753999710083008,1
886,17.160999298095703,1
887,17.160999298095703,1
888,17.160999298095703,1
896,12.496999740600586,1
897,17.160999298095703,1
898,17.160999298095703,1
899,17.160999298095703,1
959,14.159000396728516,1
970,14.159000396728516,1
981,14.159000396728516,1
982,14.159000396728516,1
983,14.159000396728516,1
984,13.77299976348877,1
993,13.713000297546387,1
994,13.713000297546387,1
995,13.713000297546387,1
996,14.70199966430664,1
997,14.70199966430664,1
998,14.70199966430664,1
1006,12.753999710083008,1
1007,17.160999298095703,1
1008,17.160999298095703,1
1009,17.160999298095703,1
1017,12.753999710083008,1
1018,17.160999298095703,1
1019,17.160999298095703,1
1020,17.160999298095703,1
1028,12.496999740600586,1
1029,17.160999298095703,1
1030,17.160999298095703,1
1031,17.160999298095703,1
1081,15.902999877929688,1
1082,17.322999954223633,1
1083,17.322999954223633,1
1084,17.322999954223633,1
1091,14.159000396728516,1
1092,23.422000885009766,1
1093,23.422000885009766,1
1094,23.422000885009766,1
1095,22.878000259399414,1
1102,14.159000396728516,1
1103,23.422000885009766,1
1104,23.422000885009766,1
1105,23.422000885009766,1
1106,22.878000259399414,1
1113,14.159000396728516,1
1114,23.422000885009766,1
1115,23.422000885009766,1
1116,23.422000885009766,1
1117,22.878000259399414,1
1118,14.61299991607666,1
1125,22.341999053955078,1
1126,22.341999053955078,1
1127,22.341999053955078,1
1128,21.131999969482422,1
1137,14.838000297546387,1
1138,14.838000297546387,1
1139,14.838000297546387,1
1213,17.451000213623047,1
1214,18.906999588012695,1
1215,18.906999588012695,1
1216,18.906999588012695,1
1223,20.540000915527344,1
1224,28.8700008392334,1
1225,30.683000564575195,1
1226,30.683000564575195,1
1227,30.683000564575195,1
1228,20.937999725341797,1
1234,20.540000915527344,1
1235,28.8700008392334,1
1236,30.683000564575195,1
1237,30.683000564575195,1
1238,30.683000564575195,1
1239,29.104999542236328,1
1245,20.540000915527344,1
1246,28.8700008392334,1
1247,30.683000564575195,1
1248,30.683000564575195,1
1249,30.683000564575195,1
1250,29.104999542236328,1
1256,15.494999885559082,1
1257,23.516000747680664,1
1258,29.16699981689453,1
1259,29.16699981689453,1
1260,29.16699981689453,1
1261,29.104999542236328,1
1268,15.996999740600586,1
1269,26.60099983215332,1
1270,26.60099983215332,1
1271,26.60099983215332,1
1272,20.847000122070312,1
1280,14.557999610900879,1
1281,17.375,1
1282,17.375,1
1283,17.375,1
1291,10.260000228881836,1
1292,10.260000228881836,1
1293,10.260000228881836,1
1345,17.451000213623047,1
1346,18.906999588012695,1
1347,18.906999588012695,1
1348,18.906999588012695,1
1355,20.540000915527344,1
1356,28.8700008392334,1
1357,30.683000564575195,1
1358,30.683000564575195,1
1359,30.683000564575195,1
1360,20.937999725341797,1
1366,20.540000915527344,1
1367,28.8700008392334,1
1368,32.3489990234375,1
1369,32.3489990234375,1
1370,32.3489990234375,1
1371,30.66900062561035,1
1377,20.540000915527344,1
1378,28.8700008392334,1
1379,32.3489990234375,1
1380,32.3489990234375,1
1381,32.3489990234375,1
1382,30.66900062561035,1
1383,18.18000030517578,1
1388,15.494999885559082,1
1389,24.645999908447266,1
1390,32.3489990234375,1
1391,32.3489990234375,1
1392,32.3489990234375,1
1393,30.66900062561035,1
1394,18.18000030517578,1
1400,18.687000274658203,1
1401,26.60099983215332,1
1402,28.87299919128418,1
1403,28.87299919128418,1
1404,28.87299919128418,1
