,scores,cavity
1243,13.883999824523926,1
1244,13.883999824523926,1
1245,13.883999824523926,1
1268,13.883999824523926,1
1269,13.883999824523926,1
1270,13.883999824523926,1
1271,12.583999633789062,1
1293,13.883999824523926,1
1294,13.883999824523926,1
1295,13.883999824523926,1
1296,12.583999633789062,1
1318,13.381999969482422,1
1319,13.381999969482422,1
1320,13.381999969482422,1
1321,12.583999633789062,1
1743,16.594999313354492,1
1744,16.594999313354492,1
1745,16.594999313354492,1
1767,14.321000099182129,1
1768,16.79800033569336,1
1769,17.06599998474121,1
1770,17.06599998474121,1
1771,17.06599998474121,1
1792,14.321000099182129,1
1793,16.79800033569336,1
1794,17.45800018310547,1
1795,17.45800018310547,1
1796,17.45800018310547,1
1797,15.388999938964844,1
1818,16.79800033569336,1
1819,17.45800018310547,1
1820,17.45800018310547,1
1821,17.45800018310547,1
1822,15.388999938964844,1
1843,15.03499984741211,1
1844,17.45800018310547,1
1845,17.45800018310547,1
1846,17.45800018310547,1
1847,15.388999938964844,1
1870,15.008999824523926,1
1871,15.008999824523926,1
1872,15.008999824523926,1
1894,16.566999435424805,1
1895,16.566999435424805,1
1896,16.566999435424805,1
1897,15.008999824523926,1
1919,16.566999435424805,1
1920,16.566999435424805,1
1921,16.566999435424805,1
1922,15.008999824523926,1
1944,16.566999435424805,1
1945,16.566999435424805,1
1946,16.566999435424805,1
2214,13.383000373840332,1
2215,13.383000373840332,1
2216,13.383000373840332,1
2239,13.383000373840332,1
2240,14.208000183105469,1
2241,14.208000183105469,1
2242,14.208000183105469,1
2243,16.594999313354492,1
2244,16.594999313354492,1
2245,16.594999313354492,1
2268,16.79800033569336,1
2269,17.06599998474121,1
2270,17.06599998474121,1
2271,17.06599998474121,1
2293,16.79800033569336,1
2294,17.45800018310547,1
2295,17.45800018310547,1
2296,17.45800018310547,1
2297,15.388999938964844,1
2318,16.79800033569336,1
2319,17.45800018310547,1
2320,17.45800018310547,1
2321,17.45800018310547,1
2322,15.388999938964844,1
2344,17.45800018310547,1
2345,17.45800018310547,1
2346,17.45800018310547,1
2347,15.388999938964844,1
2370,15.008999824523926,1
2371,15.008999824523926,1
2372,15.008999824523926,1
2394,16.566999435424805,1
2395,16.566999435424805,1
2396,16.566999435424805,1
2397,15.008999824523926,1
2419,16.566999435424805,1
2420,16.566999435424805,1
2421,16.566999435424805,1
2422,15.008999824523926,1
2444,16.566999435424805,1
2445,16.566999435424805,1
2446,16.566999435424805,1
2713,14.277000427246094,1
2714,14.277000427246094,1
2715,14.277000427246094,1
2716,13.383000373840332,1
2738,14.277000427246094,1
2743,16.594999313354492,1
2744,16.594999313354492,1
2745,16.594999313354492,1
2763,14.277000427246094,1
2768,16.79800033569336,1
2769,17.06599998474121,1
2770,17.06599998474121,1
2771,17.06599998474121,1
2793,16.79800033569336,1
2794,17.45800018310547,1
2795,17.45800018310547,1
2796,17.45800018310547,1
2797,15.388999938964844,1
2818,16.79800033569336,1
2819,17.45800018310547,1
2820,17.45800018310547,1
2821,17.45800018310547,1
2822,15.388999938964844,1
2844,17.45800018310547,1
2845,17.45800018310547,1
2846,17.45800018310547,1
2847,15.388999938964844,1
2870,15.008999824523926,1
2871,15.008999824523926,1
2872,15.008999824523926,1
2894,16.566999435424805,1
2895,16.566999435424805,1
2896,16.566999435424805,1
2897,15.008999824523926,1
2919,16.566999435424805,1
2920,16.566999435424805,1
2921,16.566999435424805,1
2922,15.008999824523926,1
2944,16.566999435424805,1
2945,16.566999435424805,1
2946,16.566999435424805,1
3188,15.618000030517578,1
3189,15.618000030517578,1
3190,15.618000030517578,1
3213,15.618000030517578,1
3214,15.618000030517578,1
3215,15.618000030517578,1
3238,15.618000030517578,1
3239,15.618000030517578,1
3240,15.618000030517578,1
3269,13.321999549865723,1
3294,13.321999549865723,1
3446,12.944999694824219,1
3665,13.84000015258789,1
3666,13.84000015258789,1
3688,15.618000030517578,1
3689,15.618000030517578,1
3690,15.618000030517578,1
3691,14.47599983215332,1
3713,15.618000030517578,1
3714,15.618000030517578,1
3715,15.618000030517578,1
3716,14.47599983215332,1
3738,15.618000030517578,1
3739,15.618000030517578,1
3740,15.618000030517578,1
4166,13.84000015258789,1
4191,14.47599983215332,1
4216,14.47599983215332,1
4666,13.84000015258789,1
4691,14.47599983215332,1
